"UF","Código.UF","PIB","POP"
"RO",11,11004641.436,1562085
"AC",12,3784002.575,630328
"AM",13,31090695.803,3138726
"RR",14,2822756.978,381896
"PA",15,37272725.89,6850181
"AP",16,3824739.763,547400
"TO",17,7251579.977,1262644
"MA",21,22127131.812,6021504
"PI",22,9406460.753,2977259
"CE",23,36890816.205,7976563
"RN",24,17252398.422,2962107
"PB",25,15757831.545,3568350
"PE",26,44982684.112,8323911
"AL",27,14044907.468,2980910
"SE",28,13336257.992,1934596
"BA",29,77931724.703,13682074
"MG",31,171870933.838,18993720
"ES",32,39732638.407,3352024
"RJ",33,241206738.19,15203750
"SP",35,652955557.519,39825226
"PR",41,123451529.53,10135388
"SC",42,73618965.923,5774178
"RS",43,131192206.299,10726063
"MS",50,23372308.186,2230702
"MT",51,33388670.158,2749145
"GO",52,51103815.348,5508245
"DF",53,67076505.2,2282049
