"UF","Código.UF","PIB","POP"
"RO",11,5624964.10853,1446851
"AC",12,1702620.882154,558658
"AM",13,18872885.025004,2832439
"RR",14,1116580.64099,333568
"PA",15,18913684.300221,6289920
"AP",16,1968365.45002,466932
"TO",17,2450497.872961,1157324
"MA",21,9206844.794438,5697960
"PI",22,5329536.363432,2860109
"CE",23,20799548.01039,7499239
"RN",24,9293319.279485,2800063
"PB",25,9237736.759314,3459468
"PE",26,29126795.617416,7969293
"AL",27,7022922.848206,2842506
"SE",28,5920725.123352,1803334
"BA",29,48197173.776533,13147739
"MG",31,106168725.153561,18029960
"ES",32,21530247.26708,3129240
"RJ",33,137876530.793,14493347
"SP",35,370818991.94,37383249
"PR",41,65968713.267155,9635306
"SC",42,42428003.690645,5408848
"RS",43,85137542.550373,10255417
"MS",50,11861168.41847,2097184
"MT",51,13428289.491092,2535104
"GO",52,21665356.268501,5066670
"DF",53,29587137.29,2080153
