"UF","Código.UF","PIB","POP"
"RO",11,30112720.325,1590011
"AC",12,10137924.705,758786
"AM",13,72242700.672,3590985
"RR",14,7711467.115,469524
"PA",15,107080880.915,7822205
"AP",16,11130867.802,698602
"TO",17,20684429.94,1417694
"MA",21,60490108.523,6714314
"PI",22,28637684.711,3160748
"CE",23,96973752.887,8606005
"RN",24,46412208.354,3228198
"PB",25,42488349.199,3815171
"PE",26,127989043.344,8931028
"AL",27,34650397.465,3165472
"SE",28,32853180.805,2110867
"BA",29,182572530.05,14175341
"MG",31,442282829.873,19855332
"ES",32,116850580.547,3578067
"RJ",33,574884973.116,16231365
"SP",35,1559033443.717,41901219
"PR",41,285620201.636,10577755
"SC",42,191794652.146,6383286
"RS",43,287587018.678,10770603
"MS",50,62013200.885,2505088
"MT",51,79665691.133,3115336
"GO",52,138757825.035,6154996
"DF",53,164101336.5,2648532
