"UF","Código.UF","PIB","POP"
"RO",11,23907886.882,1560501
"AC",12,8342355.523,732793
"AM",13,60877122.689,3480937
"RR",14,6639150.477,451227
"PA",15,82684517.802,7603239
"AP",16,8237795.351,668689
"TO",17,16404816.089,1383453
"MA",21,46309633.107,6569683
"PI",22,22269149.131,3119015
"CE",23,79336299.286,8448055
"RN",24,36184502.37,3168133
"PB",25,33522491.699,3766834
"PE",26,97189760.481,8796032
"AL",27,27133037.865,3120922
"SE",28,26404893.223,2068031
"BA",29,154419547.377,14021432
"MG",31,351123417.738,19595309
"ES",32,85310284.551,3512672
"RJ",33,449858101.054,15993583
"SP",35,1294695988.466,41252160
"PR",41,225205254.699,10439601
"SC",42,153726007.379,6249682
"RS",43,241249163.902,10695532
"MS",50,47270656.398,2449341
"MT",51,56600955.372,3033991
"GO",52,106770109.475,6004045
"DF",53,144174101.6,2562963
