"UF","Código.UF","PIB","POP"
"RO",11,7467629.886,1504001
"AC",12,2971301.277,589393
"AM",13,22093338.009,2989142
"RR",14,2392032.671,357534
"PA",15,26482158.871,6567773
"AP",16,3173342.678,506836
"TO",17,5322562.915,1209556
"MA",21,15924002.514,5858415
"PI",22,7122634.624,2918207
"CE",23,28718840.362,7735959
"RN",24,13566803.381,2880425
"PB",25,12747021.186,3513466
"PE",26,36056031.63,8145159
"AL",27,11536852.891,2911145
"SE",28,10332493.905,1868430
"BA",29,58842975.947,13415214
"MG",31,124071066.412,18507918
"ES",32,27048996.552,3239726
"RJ",33,184310915.235,14845658
"SP",35,518878815.194,38594303
"PR",41,88235714.971,9883312
"SC",42,54481893.216,5590026
"RS",43,98847210.909,10488824
"MS",50,16440423.926,2163399
"MT",51,19190652.533,2641254
"GO",52,38629364.579,5285660
"DF",53,53902199.8,2180279
