"UF","Código.UF","PIB","POP"
"RO",11,34030981.972,1748531
"AC",12,13458697.63,790101
"AM",13,86668643.771,3873743
"RR",14,9744122.308,496936
"PA",15,124584945.029,8104880
"AP",16,13400283.592,750912
"TO",17,26189322.643,1496880
"MA",21,76842027.656,6850884
"PI",22,37723496.64,3194718
"CE",23,126054471.62,8842791
"RN",24,54022583.913,3408510
"PB",25,52936483.075,3943885
"PE",26,155142647.932,9277727
"AL",27,40974994.009,3321730
"SE",28,37472431.503,2219574
"BA",29,223929966.169,15126371
"MG",31,516633984.087,20734097
"ES",32,128783781.144,3885049
"RJ",33,671076844.336,16461173
"SP",35,1858196055.472,44035304
"PR",41,348084190.833,11081692
"SC",42,242553370.868,6727148
"RS",43,357816423.835,11207274
"MS",50,78950132.704,2619657
"MT",51,101234520.271,3224357
"GO",52,165015318.46,6523222
"DF",53,197432058.5,2852372
