"UF","Código.UF","PIB","POP"
"RO",11,13054713.344,1562417
"AC",12,4661806.953,686652
"AM",13,39933212.638,3311026
"RR",14,3802452.111,403344
"PA",15,45983026.806,7110465
"AP",16,5280821.943,615715
"TO",17,8655613.32,1332441
"MA",21,29710643.033,6184538
"PI",22,13360478.492,3036290
"CE",23,46500320.743,8217085
"RN",24,22890123.7,3043760
"PB",25,20838016.36,3623215
"PE",26,55485293.017,8502603
"AL",27,17395670.95,3050652
"SE",28,16419797.845,2000738
"BA",29,95347801.94,13950146
"MG",31,212659547.188,19479356
"ES",32,53463868.455,3464285
"RJ",33,299738182.98,15561720
"SP",35,824529299.002,41055734
"PR",41,137648310.681,10387378
"SC",42,91063448.62,5958266
"RS",43,147622599.266,10963219
"MS",50,26667893.812,2297981
"MT",51,30700164.573,2856999
"GO",52,61375402.642,5730753
"DF",53,84661405.54,2383784
