"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","NOME_URNA_CANDIDATO","DESC_SIT_TOT_TURNO"
"1",21,300000,"MAURO IASI","NÃO ELEITO"
"2",29,300000,"RUI COSTA PIMENTA","NÃO ELEITO"
"3",40,150000000,"MARINA SILVA","NÃO ELEITO"
"4",20,50000000,"PASTOR EVERALDO","NÃO ELEITO"
"5",13,-1,"DILMA","ELEITO"
"6",28,12000000,"LEVY FIDELIX","NÃO ELEITO"
"7",43,90000000,"EDUARDO JORGE","NÃO ELEITO"
"8",16,400000,"ZÉ MARIA","NÃO ELEITO"
"9",27,25000000,"EYMAEL","NÃO ELEITO"
"10",13,383000000,"DILMA","2º TURNO"
"11",50,900000,"LUCIANA GENRO","NÃO ELEITO"
"12",45,-1,"AÉCIO NEVES","NÃO ELEITO"
"13",45,290000000,"AÉCIO NEVES","2º TURNO"
