"","DATA_GERACAO","HORA_GERACAO","ANO_ELEICAO","NUM_TURNO","DESCRICAO_ELEICAO","SIGLA_UF","SIGLA_UE","CODIGO_CARGO","DESCRICAO_CARGO","TIPO_LEGENDA","NUMERO_PARTIDO","SIGLA_PARTIDO","NOME_PARTIDO","SIGLA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","SEQUENCIAL_COLIGACAO"
"1","16/07/2017",14:36:30,2002,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",16,"PSTU","PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO","PSTU","PSTU","PSTU",1016
"2","16/07/2017",14:36:30,2002,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",29,"PCO","PARTIDO DA CAUSA OPERÁRIA","PCO","PCO","PCO",1029
"3","16/07/2017",14:36:30,2002,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",12,"PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","#NE#","COLIGAÇÃO FRENTE TRABALHISTA","PDT / PPS / PTB",1102
"4","16/07/2017",14:36:30,2002,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",13,"PT","PARTIDO DOS TRABALHADORES","#NE#","COLIGAÇÃO LULA PRESIDENTE","PC do B / PCB / PL / PMN / PT",1101
"5","16/07/2017",14:36:30,2002,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",14,"PTB","PARTIDO TRABALHISTA BRASILEIRO","#NE#","COLIGAÇÃO FRENTE TRABALHISTA","PDT / PPS / PTB",1102
"6","16/07/2017",14:36:30,2002,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",15,"PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","#NE#","COLIGAÇÃO GRANDE ALIANÇA","PMDB / PSDB",1100
"7","16/07/2017",14:36:30,2002,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",21,"PCB","PARTIDO COMUNISTA BRASILEIRO","#NE#","COLIGAÇÃO LULA PRESIDENTE","PC do B / PCB / PL / PMN / PT",1101
"8","16/07/2017",14:36:30,2002,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",22,"PL","PARTIDO LIBERAL","#NE#","COLIGAÇÃO LULA PRESIDENTE","PC do B / PCB / PL / PMN / PT",1101
"9","16/07/2017",14:36:30,2002,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",23,"PPS","PARTIDO POPULAR SOCIALISTA","#NE#","COLIGAÇÃO FRENTE TRABALHISTA","PDT / PPS / PTB",1102
"10","16/07/2017",14:36:30,2002,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",30,"PGT","PARTIDO GERAL DOS TRABALHADORES","#NE#","COLIGAÇÃO BRASIL ESPERANÇA","PGT / PSB / PTC",1103
"11","16/07/2017",14:36:30,2002,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",33,"PMN","PARTIDO DA MOBILIZAÇÃO NACIONA","#NE#","COLIGAÇÃO LULA PRESIDENTE","PC do B / PCB / PL / PMN / PT",1101
"12","16/07/2017",14:36:30,2002,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",36,"PTC","PARTIDO TRABALHISTA CRISTÃO","#NE#","COLIGAÇÃO BRASIL ESPERANÇA","PGT / PSB / PTC",1103
"13","16/07/2017",14:36:30,2002,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",40,"PSB","PARTIDO SOCIALISTA BRASILEIRO","#NE#","COLIGAÇÃO BRASIL ESPERANÇA","PGT / PSB / PTC",1103
"14","16/07/2017",14:36:30,2002,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",45,"PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","#NE#","COLIGAÇÃO GRANDE ALIANÇA","PMDB / PSDB",1100
"15","16/07/2017",14:36:30,2002,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",65,"PC do B","PARTIDO COMUNISTA DO BRASIL","#NE#","COLIGAÇÃO LULA PRESIDENTE","PC do B / PCB / PL / PMN / PT",1101
