"","ANO_ELEICAO","SIGLA_UE","NUM_TURNO","DESCRICAO_ELEICAO","CODIGO_CARGO","DESCRICAO_CARGO","NUMERO_CANDIDATO","QTDE_VOTOS","CODIGO_MACRO","NOME_MACRO","UF","NOME_UF"
"1",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",13,59690,1,"Norte","AC","Acre"
"2",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",13,211517,1,"Norte","AM","Amazonas"
"3",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",13,62394,1,"Norte","AP","Amapá"
"4",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",13,530722,1,"Norte","PA","Pará"
"5",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",13,103927,1,"Norte","RO","Rondônia"
"6",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",13,20601,1,"Norte","RR","Roraima"
"7",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",13,66607,1,"Norte","TO","Tocantins"
"8",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",16,655,1,"Norte","AC","Acre"
"9",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",16,2765,1,"Norte","AM","Amazonas"
"10",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",16,445,1,"Norte","AP","Amapá"
"11",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",16,8952,1,"Norte","PA","Pará"
"12",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",16,1232,1,"Norte","RO","Rondônia"
"13",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",16,75,1,"Norte","RR","Roraima"
"14",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",16,1677,1,"Norte","TO","Tocantins"
"15",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",19,467,1,"Norte","AC","Acre"
"16",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",19,2726,1,"Norte","AM","Amazonas"
"17",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",19,588,1,"Norte","AP","Amapá"
"18",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",19,5387,1,"Norte","PA","Pará"
"19",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",19,1793,1,"Norte","RO","Rondônia"
"20",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",19,442,1,"Norte","RR","Roraima"
"21",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",19,814,1,"Norte","TO","Tocantins"
"22",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",20,283,1,"Norte","AC","Acre"
"23",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",20,1209,1,"Norte","AM","Amazonas"
"24",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",20,226,1,"Norte","AP","Amapá"
"25",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",20,3273,1,"Norte","PA","Pará"
"26",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",20,4409,1,"Norte","RO","Rondônia"
"27",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",20,40,1,"Norte","RR","Roraima"
"28",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",20,787,1,"Norte","TO","Tocantins"
"29",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",23,26909,1,"Norte","AC","Acre"
"30",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",23,128820,1,"Norte","AM","Amazonas"
"31",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",23,25349,1,"Norte","AP","Amapá"
"32",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",23,165691,1,"Norte","PA","Pará"
"33",1998,"BR",1,"ELEICOES 1998",1,"PRESIDENTE",23,39398,1,"Norte","RO","Rondônia"
