"","ANO_ELEICAO","SIGLA_UE","NUM_TURNO","DESCRICAO_ELEICAO","CODIGO_CARGO","DESCRICAO_CARGO","NUMERO_CANDIDATO","QTDE_VOTOS","CODIGO_MACRO","NOME_MACRO","UF","NOME_UF"
"1",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",12,3617,1,"Norte","AC","Acre"
"2",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",12,36329,1,"Norte","AM","Amazonas"
"3",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",12,9157,1,"Norte","AP","Amapá"
"4",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",12,53059,1,"Norte","PA","Pará"
"5",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",12,14685,1,"Norte","RO","Rondônia"
"6",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",12,3956,1,"Norte","RR","Roraima"
"7",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",12,9802,1,"Norte","TO","Tocantins"
"8",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",13,133221,1,"Norte","AC","Acre"
"9",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",13,1070656,1,"Norte","AM","Amazonas"
"10",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",13,160675,1,"Norte","AP","Amapá"
"11",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",13,1631569,1,"Norte","PA","Pará"
"12",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",13,329598,1,"Norte","RO","Rondônia"
"13",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",13,49433,1,"Norte","RR","Roraima"
"14",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",13,392151,1,"Norte","TO","Tocantins"
"15",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",17,70,1,"Norte","AC","Acre"
"16",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",17,665,1,"Norte","AM","Amazonas"
"17",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",17,182,1,"Norte","AP","Amapá"
"18",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",17,1262,1,"Norte","PA","Pará"
"19",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",17,557,1,"Norte","RO","Rondônia"
"20",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",17,92,1,"Norte","RR","Roraima"
"21",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",17,294,1,"Norte","TO","Tocantins"
"22",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",27,236,1,"Norte","AC","Acre"
"23",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",27,788,1,"Norte","AM","Amazonas"
"24",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",27,166,1,"Norte","AP","Amapá"
"25",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",27,1445,1,"Norte","PA","Pará"
"26",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",27,615,1,"Norte","RO","Rondônia"
"27",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",27,145,1,"Norte","RR","Roraima"
"28",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",27,216,1,"Norte","TO","Tocantins"
"29",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",29,35,1,"Norte","AC","Acre"
"30",2006,"BR",1,"ELEICOES 2006",1,"PRESIDENTE",29,161,1,"Norte","AM","Amazonas"
