"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","NOME_URNA_CANDIDATO","DESC_SIT_TOT_TURNO"
"1",50,100000,"PROFESSOR FORTUNATO","NÃO ELEITO"
"2",11,5000000,"GLADSON CAMELI","ELEITO"
"3",65,4200000,"PERPÉTUA ALMEIDA","NÃO ELEITO"
"4",33,1500000,"DR. ROBERTO DUARTE","NÃO ELEITO"
"5",50,275000,"HELOÍSA HELENA","NÃO ELEITO"
"6",25,6000000,"OMAR","NÃO ELEITO"
"7",19,0,"MARCOS AGUIAR","NÃO ELEITO"
"8",45,-1,"EDUARDO MAGALHAES","#NULO#"
"9",28,2000000,"OLDEMBERG PARANHOS","NÃO ELEITO"
"10",14,0,"COLLOR","ELEITO"
"11",51,400000,"CORONEL  BRITO","NÃO ELEITO"
"12",36,10000000,"ELIAS BARROS","NÃO ELEITO"
"13",28,2000000,"MARQUINHO ABREU","NÃO ELEITO"
"14",36,1000000,"CORONEL PALMIRA","NÃO ELEITO"
"15",51,1500000,"PROMOTOR MOISÉS","NÃO ELEITO"
"16",15,3900000,"GILVAM","NÃO ELEITO"
"17",44,1500000,"PASTOR JORVAN","NÃO ELEITO"
"18",21,-1,"RICARDO VILHENA","#NULO#"
"19",16,30000,"PROFESSOR PAULO RICARDO","NÃO ELEITO"
"20",13,1600000,"DORA NASCIMENTO","NÃO ELEITO"
"21",33,3000000,"RAQUEL CAPIBRIBE","NÃO ELEITO"
"22",25,11000000,"DAVI ALCOLUMBRE","ELEITO"
"23",16,100000,"JÚLIO FERRAZ","NÃO ELEITO"
"24",13,15000000,"PRACIANO","NÃO ELEITO"
"25",40,2000000,"MARCELO SERAFIM","NÃO ELEITO"
"26",50,580000,"PROFESSOR QUEIROZ","NÃO ELEITO"
"27",33,1000000,"JONATAS ALMEIDA","NÃO ELEITO"
"28",55,0,"OMAR AZIZ","ELEITO"
"29",55,16000000,"OTTO ALENCAR","ELEITO"
"30",15,28000000,"GEDDEL VIEIRA LIMA","NÃO ELEITO"
"31",51,2000000,"MARCELO EVANGELISTA","NÃO ELEITO"
"32",40,8000000,"ELIANA CALMON","NÃO ELEITO"
"33",50,500000,"HAMILTON ASSIS","NÃO ELEITO"
"34",16,60000,"RAQUEL DIAS","NÃO ELEITO"
"35",40,4500000,"GEOVANA CARTAXO","NÃO ELEITO"
"36",90,12300000,"MAURO FILHO","NÃO ELEITO"
"37",45,9000000,"TASSO JEREISSATI","ELEITO"
"38",14,10000000,"GIM ARGELLO","NÃO ELEITO"
"39",16,20000,"ROBSON","NÃO ELEITO"
"40",12,3500000,"REGUFFE","ELEITO"
"41",21,10000,"JAMIL MAGARI","NÃO ELEITO"
"42",45,7000000,"SANDRA QUEZADO","NÃO ELEITO"
"43",13,30000000,"MAGELA","NÃO ELEITO"
