"","ANO_ELEICAO","SIGLA_UE","NUM_TURNO","DESCRICAO_ELEICAO","CODIGO_CARGO","DESCRICAO_CARGO","NUMERO_CANDIDATO","QTDE_VOTOS","CODIGO_MACRO","NOME_MACRO","UF","NOME_UF"
"1",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",13,111672,1,"Norte","AC","Acre"
"2",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",13,915568,1,"Norte","AM","Amazonas"
"3",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",13,199093,1,"Norte","AP","Amapá"
"4",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",13,2041266,1,"Norte","PA","Pará"
"5",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",13,345443,1,"Norte","RO","Rondônia"
"6",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",13,83027,1,"Norte","RR","Roraima"
"7",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",13,368514,1,"Norte","TO","Tocantins"
"8",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",16,113,1,"Norte","AC","Acre"
"9",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",16,1356,1,"Norte","AM","Amazonas"
"10",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",16,1122,1,"Norte","AP","Amapá"
"11",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",16,3012,1,"Norte","PA","Pará"
"12",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",16,430,1,"Norte","RO","Rondônia"
"13",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",16,210,1,"Norte","RR","Roraima"
"14",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",16,247,1,"Norte","TO","Tocantins"
"15",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",20,1203,1,"Norte","AC","Acre"
"16",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",20,42709,1,"Norte","AM","Amazonas"
"17",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",20,5118,1,"Norte","AP","Amapá"
"18",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",20,43072,1,"Norte","PA","Pará"
"19",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",20,12513,1,"Norte","RO","Rondônia"
"20",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",20,5199,1,"Norte","RR","Roraima"
"21",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",20,4743,1,"Norte","TO","Tocantins"
"22",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",21,68,1,"Norte","AC","Acre"
"23",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",21,545,1,"Norte","AM","Amazonas"
"24",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",21,162,1,"Norte","AP","Amapá"
"25",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",21,834,1,"Norte","PA","Pará"
"26",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",21,208,1,"Norte","RO","Rondônia"
"27",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",21,72,1,"Norte","RR","Roraima"
"28",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",21,261,1,"Norte","TO","Tocantins"
"29",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",27,282,1,"Norte","AC","Acre"
"30",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",27,621,1,"Norte","AM","Amazonas"
"31",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",27,435,1,"Norte","AP","Amapá"
"32",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",27,915,1,"Norte","PA","Pará"
"33",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",27,634,1,"Norte","RO","Rondônia"
"34",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",27,515,1,"Norte","RR","Roraima"
"35",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",27,221,1,"Norte","TO","Tocantins"
"36",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",28,640,1,"Norte","AC","Acre"
"37",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",28,10264,1,"Norte","AM","Amazonas"
"38",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",28,1550,1,"Norte","AP","Amapá"
"39",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",28,11508,1,"Norte","PA","Pará"
"40",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",28,3823,1,"Norte","RO","Rondônia"
"41",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",28,1290,1,"Norte","RR","Roraima"
"42",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",28,1654,1,"Norte","TO","Tocantins"
"43",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",29,14,1,"Norte","AC","Acre"
"44",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",29,98,1,"Norte","AM","Amazonas"
"45",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",29,21,1,"Norte","AP","Amapá"
"46",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",29,207,1,"Norte","PA","Pará"
"47",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",29,63,1,"Norte","RO","Rondônia"
"48",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",29,48,1,"Norte","RR","Roraima"
"49",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",29,44,1,"Norte","TO","Tocantins"
"50",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",40,167707,1,"Norte","AC","Acre"
"51",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",40,362030,1,"Norte","AM","Amazonas"
"52",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",40,77880,1,"Norte","AP","Amapá"
"53",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",40,627626,1,"Norte","PA","Pará"
"54",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",40,86438,1,"Norte","RO","Rondônia"
"55",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",40,47238,1,"Norte","RR","Roraima"
"56",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",40,150812,1,"Norte","TO","Tocantins"
"57",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",43,599,1,"Norte","AC","Acre"
"58",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",43,4413,1,"Norte","AM","Amazonas"
"59",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",43,1258,1,"Norte","AP","Amapá"
"60",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",43,12266,1,"Norte","PA","Pará"
"61",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",43,2373,1,"Norte","RO","Rondônia"
"62",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",43,785,1,"Norte","RR","Roraima"
"63",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",43,1435,1,"Norte","TO","Tocantins"
"64",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",45,116203,1,"Norte","AC","Acre"
"65",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",45,326780,1,"Norte","AM","Amazonas"
"66",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",45,99204,1,"Norte","AP","Amapá"
"67",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",45,1058808,1,"Norte","PA","Pará"
"68",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",45,372182,1,"Norte","RO","Rondônia"
"69",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",45,109237,1,"Norte","RR","Roraima"
"70",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",45,203484,1,"Norte","TO","Tocantins"
"71",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",50,878,1,"Norte","AC","Acre"
"72",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",50,15991,1,"Norte","AM","Amazonas"
"73",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",50,4017,1,"Norte","AP","Amapá"
"74",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",50,40378,1,"Norte","PA","Pará"
"75",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",50,4675,1,"Norte","RO","Rondônia"
"76",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",50,2821,1,"Norte","RR","Roraima"
"77",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",50,2877,1,"Norte","TO","Tocantins"
"78",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",95,4345,1,"Norte","AC","Acre"
"79",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",95,36074,1,"Norte","AM","Amazonas"
"80",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",95,5048,1,"Norte","AP","Amapá"
"81",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",95,84941,1,"Norte","PA","Pará"
"82",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",95,20626,1,"Norte","RO","Rondônia"
"83",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",95,3751,1,"Norte","RR","Roraima"
"84",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",95,14281,1,"Norte","TO","Tocantins"
"85",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",96,15540,1,"Norte","AC","Acre"
"86",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",96,77920,1,"Norte","AM","Amazonas"
"87",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",96,13480,1,"Norte","AP","Amapá"
"88",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",96,169268,1,"Norte","PA","Pará"
"89",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",96,37635,1,"Norte","RO","Rondônia"
"90",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",96,8861,1,"Norte","RR","Roraima"
"91",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",96,53561,1,"Norte","TO","Tocantins"
"92",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",13,703944,2,"Nordeste","AL","Alagoas"
"93",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",13,4293375,2,"Nordeste","BA","Bahia"
"94",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",13,3088201,2,"Nordeste","CE","Ceará"
"95",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",13,2188060,2,"Nordeste","MA","Maranhão"
"96",2014,"BR",1,"ELEIÇÕES GERAIS 2014",1,"PRESIDENTE",13,1167088,2,"Nordeste","PB","Paraíba"
