"","DATA_GERACAO","HORA_GERACAO","ANO_ELEICAO","NUM_TURNO","DESCRICAO_ELEICAO","SIGLA_UF","SIGLA_UE","CODIGO_CARGO","DESCRICAO_CARGO","TIPO_LEGENDA","NUMERO_PARTIDO","SIGLA_PARTIDO","NOME_PARTIDO","SIGLA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","SEQUENCIAL_COLIGACAO"
"1","16/07/2017",14:36:30,1998,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",16,"PSTU","PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO","PSTU","PSTU","PSTU",1016
"2","16/07/2017",14:36:30,1998,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",19,"PTN","PARTIDO TRABALHISTA NACIONAL","PTN","PTN","PTN",1019
"3","16/07/2017",14:36:30,1998,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",20,"PSC","PARTIDO SOCIAL CRISTÃO","PSC","PSC","PSC",1020
"4","16/07/2017",14:36:30,1998,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",27,"PSDC","PARTIDO SOCIAL DEMOCRATA CRISTÃO","PSDC","PSDC","PSDC",1027
"5","16/07/2017",14:36:30,1998,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",31,"PSN","PARTIDO DA SOLIDARIEDADE NACIONAL","PSN","PSN","PSN",1031
"6","16/07/2017",14:36:30,1998,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",33,"PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL","PMN","PMN","PMN",1033
"7","16/07/2017",14:36:30,1998,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",43,"PV","PARTIDO VERDE","PV","PV","PV",1043
"8","16/07/2017",14:36:30,1998,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",56,"PRONA","PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL","PRONA","PRONA","PRONA",1056
"9","16/07/2017",14:36:30,1998,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",70,"PT do B","PARTIDO TRABALHISTA DO BRASIL","PT do B","PT do B","PT do B",1070
"10","16/07/2017",14:36:30,1998,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",11,"PPB","PARTIDO PROGRESSISTA BRASILEIRO","#NE#","PFL / PPB / PSD / PSDB / PTB","PFL / PPB / PSD / PSDB / PTB",1101
"11","16/07/2017",14:36:30,1998,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",12,"PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","#NE#","PC do B / PCB / PDT / PSB / PT","PC do B / PCB / PDT / PSB / PT",1100
"12","16/07/2017",14:36:30,1998,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",13,"PT","PARTIDO DOS TRABALHADORES","#NE#","PC do B / PCB / PDT / PSB / PT","PC do B / PCB / PDT / PSB / PT",1100
