"","DATA_GERACAO","HORA_GERACAO","ANO_ELEICAO","NUM_TURNO","DESCRICAO_ELEICAO","SIGLA_UF","SIGLA_UE","CODIGO_CARGO","DESCRICAO_CARGO","TIPO_LEGENDA","NUMERO_PARTIDO","SIGLA_PARTIDO","NOME_PARTIDO","SIGLA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","SEQUENCIAL_COLIGACAO"
"1","16/07/2017",14:36:30,2006,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",12,"PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","PDT","PDT","PDT",1012
"2","16/07/2017",14:36:30,2006,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",17,"PSL","PARTIDO SOCIAL LIBERAL","PSL","PSL","PSL",1017
"3","16/07/2017",14:36:30,2006,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",27,"PSDC","PARTIDO SOCIAL DEMOCRATA CRISTÃO","PSDC","PSDC","PSDC",1027
"4","16/07/2017",14:36:30,2006,1,"ELEICOES","BR","BR",1,"PRESIDENTE","PARTIDO ISOLADO",44,"PRP","PARTIDO REPUBLICANO PROGRESSISTA","PRP","PRP","PRP",1044
"5","16/07/2017",14:36:30,2006,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",10,"PRB","PARTIDO REPUBLICANO BRASILEIRO","#NE#","PC do B / PRB / PT","PC do B / PRB / PT",1101
"6","16/07/2017",14:36:30,2006,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",13,"PT","PARTIDO DOS TRABALHADORES","#NE#","PC do B / PRB / PT","PC do B / PRB / PT",1101
"7","16/07/2017",14:36:30,2006,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",16,"PSTU","PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO","#NE#","PCB / PSOL / PSTU","PCB / PSOL / PSTU",1102
"8","16/07/2017",14:36:30,2006,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",21,"PCB","PARTIDO COMUNISTA BRASILEIRO","#NE#","PCB / PSOL / PSTU","PCB / PSOL / PSTU",1102
"9","16/07/2017",14:36:30,2006,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",25,"PFL","PARTIDO DA FRENTE LIBERAL","#NE#","PFL / PSDB","PFL / PSDB",1100
"10","16/07/2017",14:36:30,2006,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",45,"PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","#NE#","PFL / PSDB","PFL / PSDB",1100
"11","16/07/2017",14:36:30,2006,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",50,"PSOL","PARTIDO SOCIALISMO E LIBERDADE","#NE#","PCB / PSOL / PSTU","PCB / PSOL / PSTU",1102
"12","16/07/2017",14:36:30,2006,1,"ELEICOES","BR","BR",1,"PRESIDENTE","COLIGACAO",65,"PC do B","PARTIDO COMUNISTA DO BRASIL","#NE#","PC do B / PRB / PT","PC do B / PRB / PT",1101
