"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","NOME_URNA_CANDIDATO","COD_SIT_TOT_TURNO"
"120",50,200000,"IRACI BATISTA",4
"121",28,1800000,"MARCOS CHAGAS",5
"122",36,10000000,"GOMES",4
"123",11,-1,"LUCIANA LIMA CANTORA",-1
"124",45,6000000,"MARCOS FERREIRA",5
"125",15,3000000,"FERNANDO HOLLANDA",5
"126",45,6000000,"JORGE VI",5
"127",31,3000000,"JAMINHO",5
"128",77,5000000,"JHC",2
"129",15,-1,"JOGELSON",-1
"130",40,5000000,"IRIS FAUSTINO",5
"131",28,-1,"DINHO LEITE",-1
"132",15,3000000,"YONARA TENÓRIO",5
"133",50,200000,"BETO BRITO",4
"134",22,7000000,"MAURICIO QUINTELLA",2
"135",28,1800000,"VAL AMÉLIO",5
"136",28,-1,"DIONE",-1
"137",28,1800000,"ILDO RAFAEL",5
"138",15,3000000,"ALEXANDRE MURTA",5
"139",12,-1,"FABIA FARIAS",-1
"140",45,-1,"LUIZ CARLOS",-1
"141",55,3000000,"JOÃO LYRA",5
"142",11,5000000,"AUDI CAVALCANTE",5
"143",28,1800000,"SILVANA SOARES",5
"144",50,200000,"MARIA DA GLÓRIA",4
"145",11,5000000,"MAJOR FRAGOSO",5
"146",11,5000000,"FATIMA SANTIAGO",5
"147",20,3000000,"IRMÃO JOTA JÉO",5
"148",36,10000000,"LUANDA COSTA",4
"149",23,5000000,"POLYANNA TEIXEIRA",5
"150",28,1800000,"JORGE DA SORTE",5
"151",40,5000000,"LIGIA DO PONTAL",5
"152",90,3000000,"GIVALDO CARIMBÃO",2
"153",25,5000000,"MARCOS VIEIRA",5
"154",33,1200000,"DELEGADO LESSA",5
"155",28,-1,"DR COSMO CALHEIROS PR COSMINHO",-1
"156",28,1800000,"CABO LUIZ ALVES",5
"157",33,1200000,"TACIANA CORREIA",5
"158",70,5000000,"ROSINHA DA ADEFAL",5
"159",10,5000000,"GESIEL AMIGO LEAL",5
"160",28,1800000,"PAULA",5
"161",45,6000000,"PALHACO PIRULITO",5
"162",45,6000000,"ANDREIA VITAL",5
"163",45,6000000,"FATIMA BRASILEIRO",5
"164",33,1200000,"SONIA MARIA",5
"165",11,-1,"VIVIANE SILVA",-1
"166",45,-1,"BETE",-1
"167",25,5000000,"FLÁVIO CATÃO",5
"168",15,3000000,"FÁTIMA CANTORA",5
"169",10,5000000,"CLIUTON SANTOS",5
"170",10,5000000,"MARIA DO ROSÁRIO",5
"171",45,6000000,"PEDRO VILELA",2
"172",33,1200000,"MARCELO ALVES",5
"173",11,-1,"DOMICIO SILVA",-1
"174",21,-1,"OSVALDO MACIEL",-1
"175",25,5000000,"DR. EDSON",5
"176",70,5000000,"SHAKTI SAMPAIO - A INDIA",5
"177",50,200000,"JUNIOR",4
"178",28,1800000,"DORGE DO QUEIJO",5
"179",55,3000000,"ROBERTO TEIXEIRA",5
"180",15,3000000,"HEMERSON CASADO",5
"181",15,3000000,"GG SAMPAIO",5
"182",50,200000,"PROFESSOR PAULO ROBERTO",4
"183",11,5000000,"JULIO HOULY",5
"184",15,3000000,"CHICO DA CAPIAL",5
"185",43,3000000,"CARLOS ALBERTO",5
"186",55,12000000,"LUCAS ABRAHAO",4
"187",12,850000,"EDUARDO DANTAS",5
"188",45,6000000,"DANIEL JARI",4
"189",45,-1,"BAIMA 123",-1
"190",77,6000000,"WELLINGTON GÓES",4
"191",27,400000,"FABIANA",5
"192",65,-1,"JOELMA BANDEIRA",-1
"193",43,400000,"PROFESSORA PAULA BASTONE",5
"194",11,500000,"HILTON ALENCAR",5
"195",50,-1,"IVAN SERRÃO",-1
"196",27,400000,"CORONEL ADIMIRÇO",5
"197",55,12000000,"DR. MARVULLI",4
"198",44,1000000,"PASTOR JORIELSON",5
"199",90,900000,"ALDRIN NUNES",5
"200",31,900000,"MARCIA PINHEIRO",5
"201",27,400000,"PROFESSORA ARLI",4
"202",27,400000,"MESSIAS",5
"203",20,3000000,"MARCOS REATEGUI",2
"204",12,850000,"PROFª CONCEIÇÃO MEDEIROS",5
"205",11,500000,"TELMA NERY",5
"206",23,500000,"ALLAN SALES",5
"207",23,500000,"TIRIRICA DO AMAPA",5
"208",20,3000000,"EDUARDO HOLANDA",5
"209",14,800000,"EDUARDO SEABRA",5
"210",16,20000,"CLAUDIANE ARAÚJO",4
"211",55,12000000,"WALTER BENATHAR",4
"212",55,12000000,"LEO COSTA",4
"213",55,-1,"DR JAQUISON",-1
"214",50,2000000,"CHIA GOMES",5
"215",43,400000,"NONATO WAZARI",5
"216",40,1100000,"TENENTE JÚNIOR",5
"217",45,6000000,"LUIZ CARLOS",4
"218",27,400000,"ERISON REAL",5
"219",12,850000,"ZÉ LUIZ",5
"220",28,2000000,"EVANDRO GAMA",5
"221",13,1600000,"PROFESSORA MARCIVÂNIA",3
"222",45,-1,"BRUNA XAVIER",-1
"223",50,2000000,"WALDIR",5
"224",51,900000,"ALUIZIO IDEIA",5
"225",12,850000,"GUARABICHABA",5
"226",12,850000,"VANDA",5
"227",11,500000,"DIEGO DUARTE",5
"228",20,3000000,"PROFª. AGUIDA BARRIGA",5
"229",20,3000000,"RONALDO BOMBOCADO",5
"230",33,-1,"VERA FIGUEIREDO",-1
"231",16,20000,"WODISON SILVA",4
"232",33,1000000,"FRAN JUNIOR",4
"233",77,6000000,"DALCI",4
"234",55,12000000,"PROFESSORA VAL",4
"235",13,1600000,"MARCOS ROBERTO",5
"236",50,2000000,"IZAIAS CARTEIRO",5
"237",50,2000000,"JOSIVAN BRACHO",5
"238",51,900000,"SÔNIA LIMA",5
"239",55,12000000,"MIRAELSON COUTINHO",4
