NOME_URNA_CANDIDATO;NUMERO_PARTIDO;SIGLA_PARTIDO;COD_SIT_TOT_TURNO;DESC_SIT_TOT_TURNO
ANA MARIA RANGEL;44;PRP;4;NÃO ELEITO
CRISTOVAM BUARQUE;12;PDT;4;NÃO ELEITO
GERALDO ALCKMIN;45;PSDB;6;2º TURNO
HELOÍSA HELENA;50;PSOL;4;NÃO ELEITO
JOSÉ MARIA EYMAEL;27;PSDC;4;NÃO ELEITO
LUCIANO BIVAR;17;PSL;4;NÃO ELEITO
LULA;13;PT;6;2º TURNO
RUI COSTA PIMENTA;29;PCO;4;NÃO ELEITO
GERALDO ALCKMIN;45;PSDB;4;NÃO ELEITO
LULA;13;PT;1;ELEITO
