"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","SIGLA_PARTIDO","SIGLA_UF","DESC_SIT_TOT_TURNO"
"1",13,-1,"PT","AC","ELEITO"
"2",15,-1,"PMDB","AC","NÃO ELEITO"
"3",25,-1,"PFL","AC","NÃO ELEITO"
"4",56,-1,"PRONA","AC","NÃO ELEITO"
"5",14,-1,"PTB","AL","NÃO ELEITO"
"6",16,-1,"PSTU","AL","NÃO ELEITO"
"7",17,-1,"PSL","AL","NÃO ELEITO"
"8",36,-1,"PRN","AL","REGISTRO NEGADO ANTES DA ELEIÇÃO"
"9",40,-1,"PSB","AL","ELEITO"
"10",12,-1,"PDT","AP","2º TURNO"
"11",15,-1,"PMDB","AP","NÃO ELEITO"
"12",16,-1,"PSTU","AP","NÃO ELEITO"
"13",40,-1,"PSB","AP","2º TURNO"
"14",12,-1,"PDT","AP","NÃO ELEITO"
"15",40,-1,"PSB","AP","ELEITO"
"16",16,-1,"PSTU","AM","NÃO ELEITO"
"17",17,-1,"PSL","AM","NÃO ELEITO"
"18",25,-1,"PFL","AM","ELEITO"
"19",36,-1,"PRN","AM","NÃO ELEITO"
"20",12,-1,"PDT","BA","NÃO ELEITO"
"21",13,-1,"PT","BA","NÃO ELEITO"
"22",25,-1,"PFL","BA","ELEITO"
"23",56,-1,"PRONA","BA","NÃO ELEITO"
"24",13,-1,"PT","CE","NÃO ELEITO"
"25",15,-1,"PMDB","CE","NÃO ELEITO"
"26",16,-1,"PSTU","CE","NÃO ELEITO"
"27",33,-1,"PMN","CE","NÃO ELEITO"
"28",45,-1,"PSDB","CE","ELEITO"
"29",13,-1,"PT","DF","2º TURNO"
"30",15,-1,"PMDB","DF","2º TURNO"
"31",16,-1,"PSTU","DF","NÃO ELEITO"
"32",27,-1,"PSDC","DF","NÃO ELEITO"
"33",28,-1,"PRTB","DF","RENÚNCIA/FALECIMENTO/CASSAÇÃO ANTES DA ELEIÇÃO"
"34",29,-1,"PCO","DF","NÃO ELEITO"
"35",45,-1,"PSDB","DF","NÃO ELEITO"
"36",13,-1,"PT","DF","NÃO ELEITO"
"37",15,-1,"PMDB","DF","ELEITO"
"38",12,-1,"PDT","ES","NÃO ELEITO"
"39",15,-1,"PMDB","ES","NÃO ELEITO"
"40",40,-1,"PSB","ES","NÃO ELEITO"
"41",41,-1,"PSD","ES","NÃO ELEITO"
"42",45,-1,"PSDB","ES","ELEITO"
"43",13,-1,"PT","GO","NÃO ELEITO"
"44",15,-1,"PMDB","GO","2º TURNO"
"45",16,-1,"PSTU","GO","NÃO ELEITO"
"46",33,-1,"PMN","GO","NÃO ELEITO"
"47",43,-1,"PV","GO","NÃO ELEITO"
"48",45,-1,"PSDB","GO","2º TURNO"
"49",15,-1,"PMDB","GO","NÃO ELEITO"
"50",45,-1,"PSDB","GO","ELEITO"
"51",11,-1,"PPB","MA","NÃO ELEITO"
"52",13,-1,"PT","MA","NÃO ELEITO"
"53",16,-1,"PSTU","MA","NÃO ELEITO"
"54",25,-1,"PFL","MA","ELEITO"
"55",43,-1,"PV","MA","NÃO ELEITO"
"56",13,-1,"PT","MT","NÃO ELEITO"
"57",25,-1,"PFL","MT","NÃO ELEITO"
"58",28,-1,"PRTB","MT","NÃO ELEITO"
"59",45,-1,"PSDB","MT","ELEITO"
"60",56,-1,"PRONA","MT","NÃO ELEITO"
"61",13,-1,"PT","MS","2º TURNO"
"62",14,-1,"PTB","MS","NÃO ELEITO"
"63",45,-1,"PSDB","MS","2º TURNO"
"64",56,-1,"PRONA","MS","NÃO ELEITO"
"65",13,-1,"PT","MS","ELEITO"
"66",45,-1,"PSDB","MS","NÃO ELEITO"
"67",13,-1,"PT","MG","NÃO ELEITO"
"68",15,-1,"PMDB","MG","2º TURNO"
"69",16,-1,"PSTU","MG","NÃO ELEITO"
"70",36,-1,"PRN","MG","NÃO ELEITO"
"71",44,-1,"PRP","MG","NÃO ELEITO"
"72",45,-1,"PSDB","MG","2º TURNO"
"73",56,-1,"PRONA","MG","REGISTRO NEGADO ANTES DA ELEIÇÃO"
"74",15,-1,"PMDB","MG","ELEITO"
"75",45,-1,"PSDB","MG","NÃO ELEITO"
"76",15,-1,"PMDB","PA","2º TURNO"
"77",16,-1,"PSTU","PA","NÃO ELEITO"
"78",40,-1,"PSB","PA","NÃO ELEITO"
"79",45,-1,"PSDB","PA","2º TURNO"
"80",56,-1,"PRONA","PA","NÃO ELEITO"
"81",15,-1,"PMDB","PA","NÃO ELEITO"
"82",45,-1,"PSDB","PA","ELEITO"
"83",15,-1,"PMDB","PB","ELEITO"
"84",16,-1,"PSTU","PB","NÃO ELEITO"
"85",33,-1,"PMN","PB","NÃO ELEITO"
"86",40,-1,"PSB","PB","NÃO ELEITO"
"87",44,-1,"PRP","PB","NÃO ELEITO"
"88",15,-1,"PMDB","PR","NÃO ELEITO"
"89",16,-1,"PSTU","PR","NÃO ELEITO"
"90",25,-1,"PFL","PR","ELEITO"
"91",56,-1,"PRONA","PR","NÃO ELEITO"
"92",15,-1,"PMDB","PE","ELEITO"
"93",16,-1,"PSTU","PE","NÃO ELEITO"
"94",20,-1,"PSC","PE","NÃO ELEITO"
"95",31,-1,"PSN","PE","NÃO ELEITO"
"96",40,-1,"PSB","PE","NÃO ELEITO"
"97",45,-1,"PSDB","PE","NÃO ELEITO"
"98",15,-1,"PMDB","PI","2º TURNO"
"99",16,-1,"PSTU","PI","NÃO ELEITO"
"100",25,-1,"PFL","PI","2º TURNO"
"101",33,-1,"PMN","PI","NÃO ELEITO"
"102",45,-1,"PSDB","PI","NÃO ELEITO"
"103",15,-1,"PMDB","PI","RENÚNCIA/FALECIMENTO/CASSAÇÃO APÓS A ELEIÇÃO"
"104",25,-1,"PFL","PI","ELEITO"
"105",12,-1,"PDT","RJ","2º TURNO"
"106",16,-1,"PSTU","RJ","NÃO ELEITO"
"107",17,-1,"PSL","RJ","NÃO ELEITO"
"108",18,-1,"PST","RJ","NÃO ELEITO"
"109",23,-1,"PPS","RJ","NÃO ELEITO"
"110",25,-1,"PFL","RJ","2º TURNO"
"111",27,-1,"PSDC","RJ","NÃO ELEITO"
"112",28,-1,"PRTB","RJ","NÃO ELEITO"
"113",31,-1,"PSN","RJ","NÃO ELEITO"
"114",43,-1,"PV","RJ","NÃO ELEITO"
"115",45,-1,"PSDB","RJ","NÃO ELEITO"
"116",56,-1,"PRONA","RJ","NÃO ELEITO"
"117",70,-1,"PT do B","RJ","NÃO ELEITO"
"118",12,-1,"PDT","RJ","ELEITO"
"119",25,-1,"PFL","RJ","NÃO ELEITO"
"120",13,-1,"PT","RN","NÃO ELEITO"
"121",15,-1,"PMDB","RN","ELEITO"
"122",16,-1,"PSTU","RN","NÃO ELEITO"
"123",20,-1,"PSC","RN","NÃO ELEITO"
"124",25,-1,"PFL","RN","NÃO ELEITO"
"125",31,-1,"PSN","RN","NÃO ELEITO"
"126",12,-1,"PDT","RS","NÃO ELEITO"
"127",13,-1,"PT","RS","2º TURNO"
"128",15,-1,"PMDB","RS","2º TURNO"
"129",23,-1,"PPS","RS","NÃO ELEITO"
"130",36,-1,"PRN","RS","NÃO ELEITO"
"131",43,-1,"PV","RS","NÃO ELEITO"
"132",56,-1,"PRONA","RS","NÃO ELEITO"
"133",13,-1,"PT","RS","ELEITO"
"134",15,-1,"PMDB","RS","NÃO ELEITO"
"135",11,-1,"PPB","RO","NÃO ELEITO"
"136",13,-1,"PT","RO","NÃO ELEITO"
"137",15,-1,"PMDB","RO","2º TURNO"
"138",20,-1,"PSC","RO","NÃO ELEITO"
"139",25,-1,"PFL","RO","2º TURNO"
"140",15,-1,"PMDB","RO","NÃO ELEITO"
"141",25,-1,"PFL","RO","ELEITO"
"142",11,-1,"PPB","RR","2º TURNO"
"143",13,-1,"PT","RR","NÃO ELEITO"
"144",15,-1,"PMDB","RR","NÃO ELEITO"
"145",45,-1,"PSDB","RR","2º TURNO"
"146",11,-1,"PPB","RR","ELEITO"
"147",45,-1,"PSDB","RR","NÃO ELEITO"
"148",11,-1,"PPB","SC","ELEITO"
"149",13,-1,"PT","SC","NÃO ELEITO"
"150",15,-1,"PMDB","SC","NÃO ELEITO"
"151",16,-1,"PSTU","SC","NÃO ELEITO"
"152",20,-1,"PSC","SC","NÃO ELEITO"
"153",43,-1,"PV","SC","NÃO ELEITO"
"154",11,-1,"PPB","SP","2º TURNO"
"155",12,-1,"PDT","SP","NÃO ELEITO"
"156",13,-1,"PT","SP","NÃO ELEITO"
"157",15,-1,"PMDB","SP","NÃO ELEITO"
"158",16,-1,"PSTU","SP","NÃO ELEITO"
"159",20,-1,"PSC","SP","NÃO ELEITO"
"160",27,-1,"PSDC","SP","NÃO ELEITO"
"161",28,-1,"PRTB","SP","NÃO ELEITO"
"162",45,-1,"PSDB","SP","2º TURNO"
"163",56,-1,"PRONA","SP","NÃO ELEITO"
"164",11,-1,"PPB","SP","NÃO ELEITO"
"165",45,-1,"PSDB","SP","ELEITO"
"166",16,-1,"PSTU","SE","NÃO ELEITO"
"167",18,-1,"PST","SE","NÃO ELEITO"
"168",25,-1,"PFL","SE","2º TURNO"
"169",31,-1,"PSN","SE","NÃO ELEITO"
"170",40,-1,"PSB","SE","NÃO ELEITO"
"171",45,-1,"PSDB","SE","2º TURNO"
"172",25,-1,"PFL","SE","NÃO ELEITO"
"173",45,-1,"PSDB","SE","ELEITO"
"174",13,-1,"PT","TO","NÃO ELEITO"
"175",15,-1,"PMDB","TO","NÃO ELEITO"
"176",25,-1,"PFL","TO","ELEITO"
"177",56,-1,"PRONA","TO","NÃO ELEITO"
