Ano;Sigla;Codigo;Estado;Domicilios com agua potavel;Domicilios com instalacao adequada de esgoto;PEA;Taxa de Desemprego;Coeficiente_de_Gini;# Domilicios com Extrema Pobreza;# Domilicios com Pobreza;Analfabetos mais de 25;Anos de estudo medio mais de 25
2004;AM;13;Amazonas;0,74;0,55;1065426,00;12,4;0,536;103760,00;275069,00;2,79;6,7
2004;AP;16;Amapá;0,87;0,16;209838,00;14,6;0,542;19195,00;48130,00;2,24;6,7
2004;BA;29;Bahia;0,73;0,47;6544752,00;11,5;0,556;691123,00;1665355,00;5,85;4,9
2004;CE;23;Ceará;0,73;0,37;3671611,00;8,6;0,577;412464,00;971502,00;6,04;5
2004;DF;53;Distrito Federal;0,98;0,95;1176331,00;14,4;0,629;48064,00;130218,00;0,86;8,8
2004;ES;32;Espírito Santo;0,98;0,72;1715116,00;8,1;0,549;44801,00;173974,00;1,54;6,6
2004;GO;52;Goiás;0,96;0,31;2810319,00;7,7;0,535;64867,00;269164,00;1,64;6,2
2004;MA;21;Maranhão;0,49;0,46;2660469,00;7,9;0,609;435440,00;789480,00;8,41;4,6
2004;MG;31;Minas Gerais;0,95;0,75;9305827,00;9,8;0,542;257095,00;964242,00;1,52;6,1
2004;MS;50;Mato Grosso do Sul;0,97;0,11;1127575,00;7,5;0,536;30208,00;112656,00;0,85;6,2
2004;MT;51;Mato Grosso;0,83;0,37;1425882,00;6,3;0,528;30197,00;126114,00;1,33;6,1
2004;PA;15;Pará;0,58;0,5;2122658,00;8,7;0,535;214231,00;667133,00;5,47;5,4
2004;PB;25;Paraíba;0,77;0,52;1530607,00;9,9;0,595;197086,00;452367,00;7,8;4,8
2004;PE;26;Pernambuco;0,73;0,36;3649004,00;12,5;0,607;518049,00;1129871,00;6,94;5,4
2004;PI;22;Piauí;0,6;0,5;1442170,00;5;0,591;184826,00;392882,00;9,21;4,4
2004;PR;41;Paraná;0,97;0,65;5268035,00;6,8;0,548;168693,00;553088,00;0,92;6,7
2004;RJ;33;Rio de Janeiro;0,98;0,87;7466521,00;11,6;0,55;240410,00;805221,00;0,97;7,6
2004;RN;24;Rio Grande do Norte;0,81;0,51;1262154,00;9,6;0,57;142336,00;351039,00;8,11;5,2
