"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","SIGLA_PARTIDO","SIGLA_UF","DESC_SIT_TOT_TURNO"
"100",16,50000,"PSTU","PA","NÃO ELEITO"
"101",30,300000,"PGT","PA","#NULO#"
"102",36,400000,"PTC","PA","REGISTRO NEGADO ANTES DA ELEIÇÃO"
"103",40,6000000,"PSB","PA","NÃO ELEITO"
"104",45,10000000,"PSDB","PA","2º TURNO"
"105",13,3500000,"PT","PA","NÃO ELEITO"
"106",45,10000000,"PSDB","PA","ELEITO"
"107",13,2000000,"PT","PB","NÃO ELEITO"
"108",15,5000000,"PMDB","PB","2º TURNO"
"109",16,100000,"PSTU","PB","NÃO ELEITO"
"110",29,20000,"PCO","PB","NÃO ELEITO"
"111",30,100000,"PGT","PB","NÃO ELEITO"
"112",40,300000,"PSB","PB","RENÚNCIA/FALECIMENTO/CASSAÇÃO ANTES DA ELEIÇÃO"
"113",45,3500000,"PSDB","PB","2º TURNO"
"114",15,5000000,"PMDB","PB","NÃO ELEITO"
"115",45,3500000,"PSDB","PB","ELEITO"
"116",12,2800000,"PDT","PR","2º TURNO"
"117",13,2890000,"PT","PR","NÃO ELEITO"
"118",15,8000000,"PMDB","PR","2º TURNO"
"119",16,100000,"PSTU","PR","NÃO ELEITO"
"120",20,1000000,"PSC","PR","NÃO ELEITO"
"121",23,1700000,"PPS","PR","NÃO ELEITO"
"122",28,300000,"PRTB","PR","NÃO ELEITO"
"123",36,100000,"PTC","PR","NÃO ELEITO"
"124",40,900000,"PSB","PR","NÃO ELEITO"
"125",41,300000,"PSD","PR","NÃO ELEITO"
"126",45,12600000,"PSDB","PR","NÃO ELEITO"
"127",56,2000000,"PRONA","PR","NÃO ELEITO"
"128",12,2800000,"PDT","PR","NÃO ELEITO"
"129",15,8000000,"PMDB","PR","ELEITO"
"130",12,2500000,"PDT","PE","NÃO ELEITO"
"131",13,2500000,"PT","PE","NÃO ELEITO"
"132",15,7000000,"PMDB","PE","ELEITO"
"133",16,100000,"PSTU","PE","NÃO ELEITO"
"134",26,50000,"PAN","PE","NÃO ELEITO"
"135",29,100000,"PCO","PE","NÃO ELEITO"
"136",30,120000,"PGT","PE","NÃO ELEITO"
"137",36,200000,"PTC","PE","NÃO ELEITO"
"138",40,2300000,"PSB","PE","NÃO ELEITO"
"139",13,1500000,"PT","PI","ELEITO"
"140",15,1000000,"PMDB","PI","NÃO ELEITO"
"141",16,180000,"PSTU","PI","NÃO ELEITO"
"142",17,800000,"PSL","PI","NÃO ELEITO"
"143",23,800000,"PPS","PI","NÃO ELEITO"
"144",25,2500000,"PFL","PI","NÃO ELEITO"
"145",40,2000000,"PSB","PI","NÃO ELEITO"
"146",43,50000,"PV","PI","NÃO ELEITO"
"147",12,7000000,"PDT","RJ","NÃO ELEITO"
"148",13,10000000,"PT","RJ","NÃO ELEITO"
"149",16,-1,"PSTU","RJ","NÃO ELEITO"
"150",25,7500000,"PFL","RJ","NÃO ELEITO"
"151",29,500000,"PCO","RJ","NÃO ELEITO"
"152",40,9415215,"PSB","RJ","ELEITO"
"153",43,1000000,"PV","RJ","NÃO ELEITO"
"154",56,1500000,"PRONA","RJ","NÃO ELEITO"
"155",11,3000000,"PPB","RN","2º TURNO"
"156",12,500000,"PDT","RN","RENÚNCIA/FALECIMENTO/CASSAÇÃO ANTES DA ELEIÇÃO"
"157",13,500000,"PT","RN","NÃO ELEITO"
"158",14,3800000,"PTB","RN","NÃO ELEITO"
"159",16,30000,"PSTU","RN","NÃO ELEITO"
"160",20,0,"PSC","RN","NÃO ELEITO"
"161",27,200000,"PSDC","RN","NÃO ELEITO"
"162",40,4000000,"PSB","RN","2º TURNO"
"163",11,3000000,"PPB","RN","NÃO ELEITO"
"164",40,4000000,"PSB","RN","ELEITO"
"165",11,5500000,"PPB","RS","NÃO ELEITO"
"166",13,4000000,"PT","RS","2º TURNO"
"167",15,5000000,"PMDB","RS","2º TURNO"
"168",16,100000,"PSTU","RS","NÃO ELEITO"
"169",19,300000,"PTN","RS","NÃO ELEITO"
"170",20,900000,"PSC","RS","NÃO ELEITO"
"171",22,2500000,"PL","RS","NÃO ELEITO"
"172",23,5000000,"PPS","RS","NÃO ELEITO"
"173",29,15000,"PCO","RS","NÃO ELEITO"
"174",40,1000000,"PSB","RS","NÃO ELEITO"
"175",43,50000,"PV","RS","NÃO ELEITO"
"176",56,30000,"PRONA","RS","NÃO ELEITO"
"177",13,4000000,"PT","RS","NÃO ELEITO"
"178",15,5000000,"PMDB","RS","ELEITO"
"179",11,2500000,"PPB","RO","NÃO ELEITO"
"180",12,8000000,"PDT","RO","NÃO ELEITO"
"181",25,-1,"PFL","RO","2º TURNO"
"182",28,5000000,"PRTB","RO","NÃO ELEITO"
"183",40,800000,"PSB","RO","NÃO ELEITO"
"184",45,3000000,"PSDB","RO","2º TURNO"
"185",56,500000,"PRONA","RO","NÃO ELEITO"
"186",25,-1,"PFL","RO","NÃO ELEITO"
"187",45,3000000,"PSDB","RO","ELEITO"
"188",14,2500000,"PTB","RR","2º TURNO"
"189",17,3000000,"PSL","RR","2º TURNO"
"190",28,5000000,"PRTB","RR","NÃO ELEITO"
"191",29,5000,"PCO","RR","NÃO ELEITO"
"192",30,200000,"PGT","RR","NÃO ELEITO"
"193",14,2500000,"PTB","RR","NÃO ELEITO"
"194",17,3000000,"PSL","RR","ELEITO"
"195",11,4000000,"PPB","SC","2º TURNO"
"196",13,3000000,"PT","SC","NÃO ELEITO"
"197",15,5000000,"PMDB","SC","2º TURNO"
"198",16,10000,"PSTU","SC","NÃO ELEITO"
"199",23,1000000,"PPS","SC","NÃO ELEITO"
"200",40,500000,"PSB","SC","NÃO ELEITO"
"201",11,4000000,"PPB","SC","NÃO ELEITO"
"202",15,5000000,"PMDB","SC","ELEITO"
"203",11,18000000,"PPB","SP","NÃO ELEITO"
"204",13,20000000,"PT","SP","2º TURNO"
"205",14,5000000,"PTB","SP","NÃO ELEITO"
"206",15,15000000,"PMDB","SP","NÃO ELEITO"
"207",16,100000,"PSTU","SP","NÃO ELEITO"
"208",17,1000000,"PSL","SP","NÃO ELEITO"
"209",26,100000,"PAN","SP","NÃO ELEITO"
"210",28,2000000,"PRTB","SP","NÃO ELEITO"
"211",29,50000,"PCO","SP","NÃO ELEITO"
"212",30,5000000,"PGT","SP","NÃO ELEITO"
"213",36,100000,"PTC","SP","NÃO ELEITO"
"214",40,5000000,"PSB","SP","NÃO ELEITO"
"215",43,1500000,"PV","SP","NÃO ELEITO"
"216",45,18000000,"PSDB","SP","2º TURNO"
"217",56,500000,"PRONA","SP","NÃO ELEITO"
"218",13,20000000,"PT","SP","NÃO ELEITO"
"219",45,18000000,"PSDB","SP","ELEITO"
"220",13,1500000,"PT","SE","2º TURNO"
"221",16,100000,"PSTU","SE","NÃO ELEITO"
"222",19,5000000,"PTN","SE","NÃO ELEITO"
"223",25,3000000,"PFL","SE","2º TURNO"
"224",26,500000,"PAN","SE","NÃO ELEITO"
"225",30,200000,"PGT","SE","NÃO ELEITO"
"226",44,100000,"PRP","SE","NÃO ELEITO"
"227",45,5000000,"PSDB","SE","#NULO#"
"228",13,1500000,"PT","SE","NÃO ELEITO"
"229",25,3000000,"PFL","SE","ELEITO"
"230",13,1000000,"PT","TO","NÃO ELEITO"
"231",15,3000000,"PMDB","TO","NÃO ELEITO"
"232",23,2000000,"PPS","TO","NÃO ELEITO"
"233",25,3500000,"PFL","TO","ELEITO"
"234",40,2000000,"PSB","TO","NÃO ELEITO"
