"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","SIGLA_PARTIDO","SIGLA_UF","DESC_SIT_TOT_TURNO"
"1",13,2850000,"PT","AC","ELEITO"
"2",15,2500000,"PMDB","AC","NÃO ELEITO"
"3",17,900000,"PSL","AC","NÃO ELEITO"
"4",23,500000,"PPS","AC","NÃO ELEITO"
"5",28,100000,"PRTB","AC","NÃO ELEITO"
"6",12,3000000,"PDT","AL","NÃO ELEITO"
"7",13,50000,"PT","AL","NÃO ELEITO"
"8",16,50000,"PSTU","AL","NÃO ELEITO"
"9",19,3000000,"PTN","AL","NÃO ELEITO"
"10",28,4000000,"PRTB","AL","NÃO ELEITO"
"11",40,3000000,"PSB","AL","ELEITO"
"12",12,1480000,"PDT","AP","2º TURNO"
"13",13,2970000,"PT","AP","2º TURNO"
"14",16,100000,"PSTU","AP","NÃO ELEITO"
"15",30,30000,"PGT","AP","NÃO ELEITO"
"16",40,3000000,"PSB","AP","NÃO ELEITO"
"17",45,3500000,"PSDB","AP","NÃO ELEITO"
"18",12,1480000,"PDT","AP","ELEITO"
"19",13,2970000,"PT","AP","NÃO ELEITO"
"20",13,0,"PT","AM","NÃO ELEITO"
"21",15,5000000,"PMDB","AM","NÃO ELEITO"
"22",16,10000,"PSTU","AM","NÃO ELEITO"
"23",23,6000000,"PPS","AM","ELEITO"
"24",40,2000000,"PSB","AM","NÃO ELEITO"
"25",13,5000000,"PT","BA","NÃO ELEITO"
"26",15,3000000,"PMDB","BA","NÃO ELEITO"
"27",16,100000,"PSTU","BA","NÃO ELEITO"
"28",25,6000000,"PFL","BA","ELEITO"
"29",26,500000,"PAN","BA","NÃO ELEITO"
"30",29,10000,"PCO","BA","NÃO ELEITO"
"31",36,300000,"PTC","BA","NÃO ELEITO"
"32",40,1200000,"PSB","BA","NÃO ELEITO"
"33",12,800000,"PDT","CE","NÃO ELEITO"
"34",13,3000000,"PT","CE","2º TURNO"
"35",14,0,"PTB","CE","NÃO ELEITO"
"36",15,5500000,"PMDB","CE","NÃO ELEITO"
"37",16,100000,"PSTU","CE","NÃO ELEITO"
"38",18,250000,"PST","CE","REGISTRO NEGADO ANTES DA ELEIÇÃO"
"39",40,3000000,"PSB","CE","NÃO ELEITO"
"40",45,9800000,"PSDB","CE","2º TURNO"
"41",13,3000000,"PT","CE","NÃO ELEITO"
"42",45,9800000,"PSDB","CE","ELEITO"
"43",11,2500000,"PPB","DF","NÃO ELEITO"
"44",13,3750000,"PT","DF","2º TURNO"
"45",15,5500000,"PMDB","DF","2º TURNO"
"46",16,100000,"PSTU","DF","NÃO ELEITO"
"47",23,0,"PPS","DF","NÃO ELEITO"
"48",28,2000000,"PRTB","DF","NÃO ELEITO"
"49",29,50000,"PCO","DF","NÃO ELEITO"
"50",40,3000000,"PSB","DF","NÃO ELEITO"
"51",13,3750000,"PT","DF","NÃO ELEITO"
"52",15,5500000,"PMDB","DF","ELEITO"
"53",14,5000000,"PTB","ES","NÃO ELEITO"
"54",16,100000,"PSTU","ES","NÃO ELEITO"
"55",19,5000000,"PTN","ES","NÃO ELEITO"
"56",23,-1,"PPS","ES","#NULO#"
"57",25,4000000,"PFL","ES","NÃO ELEITO"
"58",29,5000,"PCO","ES","NÃO ELEITO"
"59",40,5000000,"PSB","ES","ELEITO"
"60",45,4000000,"PSDB","ES","NÃO ELEITO"
"61",13,3000000,"PT","GO","NÃO ELEITO"
"62",14,300000,"PTB","GO","NÃO ELEITO"
"63",15,4000000,"PMDB","GO","NÃO ELEITO"
"64",16,100000,"PSTU","GO","NÃO ELEITO"
"65",25,0,"PFL","GO","#NULO#"
"66",30,500000,"PGT","GO","NÃO ELEITO"
"67",45,10000000,"PSDB","GO","ELEITO"
"68",12,3000000,"PDT","MA","NÃO ELEITO"
"69",13,2000000,"PT","MA","NÃO ELEITO"
"70",16,30000,"PSTU","MA","NÃO ELEITO"
"71",25,12000000,"PFL","MA","ELEITO"
"72",40,4000000,"PSB","MA","REGISTRO NEGADO APÓS A ELEIÇÃO"
"73",45,4000000,"PSDB","MA","RENÚNCIA/FALECIMENTO/CASSAÇÃO ANTES DA ELEIÇÃO"
"74",13,1000000,"PT","MT","NÃO ELEITO"
"75",14,4000000,"PTB","MT","#NULO#"
"76",23,9952300,"PPS","MT","ELEITO"
"77",30,2000000,"PGT","MT","NÃO ELEITO"
"78",40,-1,"PSB","MT","NÃO ELEITO"
"79",45,8000000,"PSDB","MT","NÃO ELEITO"
"80",12,10000000,"PDT","MS","NÃO ELEITO"
"81",13,500000,"PT","MS","2º TURNO"
"82",14,3000000,"PTB","MS","NÃO ELEITO"
"83",36,150000,"PTC","MS","NÃO ELEITO"
"84",40,300000,"PSB","MS","NÃO ELEITO"
"85",45,10000000,"PSDB","MS","2º TURNO"
"86",13,500000,"PT","MS","ELEITO"
"87",45,10000000,"PSDB","MS","NÃO ELEITO"
"88",13,5000000,"PT","MG","NÃO ELEITO"
"89",15,8550000,"PMDB","MG","NÃO ELEITO"
"90",16,100000,"PSTU","MG","NÃO ELEITO"
"91",27,1000000,"PSDC","MG","NÃO ELEITO"
"92",29,50000,"PCO","MG","NÃO ELEITO"
"93",36,5000000,"PTC","MG","RENÚNCIA/FALECIMENTO/CASSAÇÃO ANTES DA ELEIÇÃO"
"94",40,10000000,"PSB","MG","NÃO ELEITO"
"95",41,500000,"PSD","MG","RENÚNCIA/FALECIMENTO/CASSAÇÃO ANTES DA ELEIÇÃO"
"96",45,15000000,"PSDB","MG","ELEITO"
"97",13,3500000,"PT","PA","2º TURNO"
"98",14,6000000,"PTB","PA","NÃO ELEITO"
"99",15,2000000,"PMDB","PA","NÃO ELEITO"
