"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","SIGLA_PARTIDO","SIGLA_UF","DESC_SIT_TOT_TURNO"
"173",45,7000000,"PSDB","RS","2º TURNO"
"174",13,7000000,"PT","RS","NÃO ELEITO"
"175",45,7000000,"PSDB","RS","ELEITO"
"176",50,300000,"PSOL","RO","NÃO ELEITO"
"177",15,4000000,"PMDB","RO","NÃO ELEITO"
"178",40,5000000,"PSB","RO","NÃO ELEITO"
"179",27,5000000,"PSDC","RO","NÃO ELEITO"
"180",13,4500000,"PT","RO","NÃO ELEITO"
"181",23,6500000,"PPS","RO","ELEITO"
"182",50,80000,"PSOL","RR","NÃO ELEITO"
"183",29,50000,"PCO","RR","NÃO ELEITO"
"184",12,600000,"PDT","RR","NÃO ELEITO"
"185",27,500000,"PSDC","RR","NÃO ELEITO"
"186",45,5000000,"PSDB","RR","ELEITO"
"187",31,300000,"PHS","RR","NÃO ELEITO"
"188",15,8000000,"PMDB","RR","NÃO ELEITO"
"189",40,3000000,"PSB","SC","NÃO ELEITO"
"190",27,600000,"PSDC","SC","NÃO ELEITO"
"191",36,1000000,"PTC","SC","NÃO ELEITO"
"192",11,2700000,"PP","SC","2º TURNO"
"193",13,3480000,"PT","SC","NÃO ELEITO"
"194",50,200000,"PSOL","SC","NÃO ELEITO"
"195",15,15000000,"PMDB","SC","2º TURNO"
"196",12,2000000,"PDT","SC","NÃO ELEITO"
"197",11,2700000,"PP","SC","NÃO ELEITO"
"198",15,15000000,"PMDB","SC","ELEITO"
"199",19,5000000,"PTN","SP","NÃO ELEITO"
"200",13,35000000,"PT","SP","NÃO ELEITO"
"201",29,30000,"PCO","SP","NÃO ELEITO"
"202",27,10000000,"PSDC","SP","NÃO ELEITO"
"203",12,5000000,"PDT","SP","NÃO ELEITO"
"204",43,5000000,"PV","SP","NÃO ELEITO"
"205",36,3000000,"PTC","SP","NÃO ELEITO"
"206",45,45000000,"PSDB","SP","ELEITO"
"207",40,5000000,"PSB","SP","NÃO ELEITO"
"208",15,30000000,"PMDB","SP","NÃO ELEITO"
"209",33,800000,"PMN","SP","REGISTRO NEGADO ANTES DA ELEIÇÃO"
"210",50,1000000,"PSOL","SP","NÃO ELEITO"
"211",26,2000000,"PAN","SP","NÃO ELEITO"
"212",17,2000000,"PSL","SP","NÃO ELEITO"
"213",56,1000000,"PRONA","SP","REGISTRO NEGADO ANTES DA ELEIÇÃO"
"214",20,1500000,"PSC","SP","NÃO ELEITO"
"215",27,2000000,"PSDC","SE","NÃO ELEITO"
"216",21,300000,"PCB","SE","NÃO ELEITO"
"217",25,4000000,"PFL","SE","NÃO ELEITO"
"218",12,1000000,"PDT","SE","NÃO ELEITO"
"219",13,5000000,"PT","SE","ELEITO"
"220",16,100000,"PSTU","SE","REGISTRO NEGADO ANTES DA ELEIÇÃO"
"221",27,2000000,"PSDC","TO","NÃO ELEITO"
"222",50,100000,"PSOL","TO","NÃO ELEITO"
"223",45,15000000,"PSDB","TO","NÃO ELEITO"
"224",65,10000000,"PC do B","TO","NÃO ELEITO"
"225",15,10000000,"PMDB","TO","ELEITO"
