"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","SIGLA_PARTIDO","SIGLA_UF","DESC_SIT_TOT_TURNO"
"1",25,3000000,"DEM","AC","NÃO ELEITO"
"2",13,-1,"PT","AC","ELEITO"
"3",45,5000000,"PSDB","AC","2º TURNO"
"4",50,100000,"PSOL","AC","NÃO ELEITO"
"5",45,-1,"PSDB","AC","NÃO ELEITO"
"6",13,7850000,"PT","AC","2º TURNO"
"7",50,600000,"PSOL","AL","NÃO ELEITO"
"8",21,300000,"PCB","AL","NÃO ELEITO"
"9",51,600000,"PEN","AL","NÃO ELEITO"
"10",19,0,"PTN","AL","NÃO ELEITO"
"11",45,40000000,"PSDB","AL","NÃO ELEITO"
"12",11,30000000,"PP","AL","NÃO ELEITO"
"13",15,59000000,"PMDB","AL","ELEITO"
"14",36,10000000,"PTC","AL","NÃO ELEITO"
"15",28,-1,"PRTB","AL","#NULO#"
"16",12,-1,"PDT","AP","ELEITO"
"17",40,6800000,"PSB","AP","2º TURNO"
"18",70,5000000,"PT do B","AP","NÃO ELEITO"
"19",40,-1,"PSB","AP","NÃO ELEITO"
"20",16,50000,"PSTU","AP","NÃO ELEITO"
"21",23,2000000,"PPS","AP","NÃO ELEITO"
"22",55,3000000,"PSD","AP","NÃO ELEITO"
"23",12,4960000,"PDT","AP","2º TURNO"
"24",21,200000,"PCB","AP","NÃO ELEITO"
"25",33,2000000,"PMN","AM","NÃO ELEITO"
"26",16,120000,"PSTU","AM","NÃO ELEITO"
"27",54,16217864,"PPL","AM","NÃO ELEITO"
"28",40,16217864,"PSB","AM","NÃO ELEITO"
"29",12,-1,"PDT","AM","#NULO#"
"30",50,900000,"PSOL","AM","NÃO ELEITO"
"31",21,120000,"PCB","AM","NÃO ELEITO"
"32",15,16217864,"PMDB","AM","2º TURNO"
"33",12,16217864,"PDT","AM","2º TURNO"
"34",15,-1,"PMDB","AM","#NULO#"
"35",31,16217864,"PHS","AM","NÃO ELEITO"
"36",15,-1,"PMDB","AM","NÃO ELEITO"
"37",18,16217864,"REDE","AM","NÃO ELEITO"
"38",11,16217864,"PP","AM","NÃO ELEITO"
"39",40,5000000,"PSB","AM","NÃO ELEITO"
"40",90,-1,"PROS","AM","ELEITO"
"41",13,16217864,"PT","AM","NÃO ELEITO"
"42",90,23300000,"PROS","AM","2º TURNO"
"43",15,25000000,"PMDB","AM","2º TURNO"
"44",23,16217864,"PPS","AM","NÃO ELEITO"
"45",16,150000,"PSTU","BA","NÃO ELEITO"
"46",13,65000000,"PT","BA","ELEITO"
"47",40,20000000,"PSB","BA","NÃO ELEITO"
"48",50,500000,"PSOL","BA","NÃO ELEITO"
"49",28,10000000,"PRTB","BA","NÃO ELEITO"
"50",25,38000000,"DEM","BA","NÃO ELEITO"
"51",13,64000000,"PT","CE","2º TURNO"
"52",15,67000000,"PMDB","CE","2º TURNO"
"53",15,-1,"PMDB","CE","NÃO ELEITO"
"54",40,9500000,"PSB","CE","NÃO ELEITO"
"55",13,-1,"PT","CE","ELEITO"
"56",50,300000,"PSOL","CE","NÃO ELEITO"
"57",22,22000000,"PR","DF","2º TURNO"
"58",40,-1,"PSB","DF","ELEITO"
"59",50,950000,"PSOL","DF","NÃO ELEITO"
"60",13,70000000,"PT","DF","NÃO ELEITO"
"61",29,50000,"PCO","DF","NÃO ELEITO"
"62",22,-1,"PR","DF","NÃO ELEITO"
"63",40,30000000,"PSB","DF","2º TURNO"
"64",45,20000000,"PSDB","DF","NÃO ELEITO"
"65",21,100000,"PCB","ES","NÃO ELEITO"
"66",15,8500000,"PMDB","ES","ELEITO"
"67",50,400000,"PSOL","ES","NÃO ELEITO"
"68",13,5000000,"PT","ES","NÃO ELEITO"
"69",40,16000000,"PSB","ES","NÃO ELEITO"
"70",40,25000000,"PSB","GO","NÃO ELEITO"
"71",15,35000000,"PMDB","GO","NÃO ELEITO"
"72",27,15000000,"PSDC","GO","NÃO ELEITO"
"73",45,26000000,"PSDB","GO","ELEITO"
"74",15,-1,"PMDB","GO","NÃO ELEITO"
"75",13,20000000,"PT","GO","NÃO ELEITO"
"76",21,200000,"PCB","GO","NÃO ELEITO"
"77",45,-1,"PSDB","GO","ELEITO"
"78",50,200000,"PSOL","GO","NÃO ELEITO"
"79",50,500000,"PSOL","MA","NÃO ELEITO"
"80",16,35000,"PSTU","MA","NÃO ELEITO"
"81",54,4000000,"PPL","MA","NÃO ELEITO"
"82",21,50000,"PCB","MA","NÃO ELEITO"
"83",65,10000000,"PC do B","MA","ELEITO"
"84",15,50000000,"PMDB","MA","NÃO ELEITO"
"85",55,35000000,"PSD","MT","NÃO ELEITO"
"86",13,30000000,"PT","MT","NÃO ELEITO"
"87",50,1000000,"PSOL","MT","NÃO ELEITO"
"88",31,10000000,"PHS","MT","NÃO ELEITO"
"89",12,34000000,"PDT","MT","ELEITO"
"90",50,250000,"PSOL","MS","NÃO ELEITO"
"91",45,-1,"PSDB","MS","ELEITO"
"92",13,-1,"PT","MS","NÃO ELEITO"
"93",45,35000000,"PSDB","MS","2º TURNO"
"94",16,161616,"PSTU","MS","NÃO ELEITO"
"95",13,28000000,"PT","MS","2º TURNO"
"96",11,11000000,"PP","MS","NÃO ELEITO"
"97",15,30000000,"PMDB","MS","NÃO ELEITO"
"98",31,-1,"PHS","MG","#NULO#"
"99",50,300000,"PSOL","MG","NÃO ELEITO"
"100",29,30000,"PCO","MG","NÃO ELEITO"
"101",45,60000000,"PSDB","MG","NÃO ELEITO"
"102",13,42000000,"PT","MG","ELEITO"
"103",21,500000,"PCB","MG","NÃO ELEITO"
"104",27,1000000,"PSDC","MG","NÃO ELEITO"
"105",40,38000000,"PSB","MG","NÃO ELEITO"
"106",45,-1,"PSDB","PA","ELEITO"
"107",45,18000000,"PSDB","PA","2º TURNO"
"108",21,100000,"PCB","PA","NÃO ELEITO"
