NOME_URNA_CANDIDATO;NUMERO_PARTIDO;SIGLA_PARTIDO;COD_SIT_TOT_TURNO;DESC_SIT_TOT_TURNO
LULA;13;PT;4;NÃO ELEITO
ZÉ MARIA;16;PSTU;4;NÃO ELEITO
THEREZA RUIZ;19;PTN;4;NÃO ELEITO
SERGIO BUENO;20;PSC;4;NÃO ELEITO
CIRO GOMES;23;PPS;4;NÃO ELEITO
EYMAEL;27;PSDC;4;NÃO ELEITO
VASCO NETO;31;PSN;4;NÃO ELEITO
BRIGADEIRO IVAN FROTA;33;PMN;4;NÃO ELEITO
SIRKIS;43;PV;4;NÃO ELEITO
FERNANDO HENRIQUE;45;PSDB;1;ELEITO
ENÉAS;56;PRONA;4;NÃO ELEITO
JOÃO DE DEUS BARBOSA;70;PT do B;4;NÃO ELEITO
