COD_MUN_IBGE,NOME_MUNICIPIO,PIB,POP
1100015,Alta Floresta D'Oeste,173990.79,29001
1100023,Ariquemes,657193.231,86901
1100031,Cabixi,43392.498,7421
1100049,Cacoal,622414.641,76417
1100056,Cerejeiras,121365.671,17217
1100064,Colorado do Oeste,114815.141,18349
1100072,Corumbiara,67309.234,9411
1100080,Costa Marques,53904.501,11731
1100098,Espigão D'Oeste,180675.629,27556
1100106,Guajará-Mirim,302287.159,42075
1100114,Jaru,420125.815,56238
1100122,Ji-Paraná,933474.108,113441
1100130,Machadinho D'Oeste,156742.927,29698
1100148,Nova Brasilândia D'Oeste,90568.757,18003
1100155,Ouro Preto do Oeste,264994.465,40735
1100189,Pimenta Bueno,264272.772,31416
1100205,Porto Velho,3388128.081,380884
1100254,Presidente Médici,130512.624,25314
1100262,Rio Crespo,22353.073,3602
1100288,Rolim de Moura,334869.212,49902
1100296,Santa Luzia D'Oeste,58188.661,11068
1100304,Vilhena,697750.386,65785
1100320,São Miguel do Guaporé,127354.154,31185
1100338,Nova Mamoré,92732.264,20333
1100346,Alvorada D'Oeste,97390.606,19543
1100379,Alto Alegre dos Parecis,69090.645,15449
1100403,Alto Paraíso,75144.177,16504
1100452,Buritis,161804.459,42686
1100502,Novo Horizonte do Oeste,69496.906,12915
1100601,Cacaulândia,40030.868,5464
1100700,Campo Novo de Rondônia,53261.854,18606
1100809,Candeias do Jamari,93367.699,17338
1100908,Castanheiras,25834.256,4092
1100924,Chupinguaia,65399.396,6647
1100940,Cujubim,48780.686,9233
1101005,Governador Jorge Teixeira,70767.539,18777
1101104,Itapuã do Oeste,47320.887,8695
1101203,Ministro Andreazza,53368.4,11223
1101302,Mirante da Serra,68870.697,14150
1101401,Monte Negro,79488.024,16874
1101435,Nova União,41277.979,9524
1101450,Parecis,22876.261,3205
1101468,Pimenteiras do Oeste,23157.703,2633
1101476,Primavera de Rondônia,23638.069,4393
1101484,São Felipe D'Oeste,34178.903,7266
1101492,São Francisco do Guaporé,86683.05,17600
1101500,Seringueiras,68072.498,16217
1101559,Teixeirópolis,30437.562,5894
1101609,Theobroma,58646.66,14320
1101708,Urupá,75803.885,17756
1101757,Vale do Anari,45243.602,10957
1101807,Vale do Paraíso,55792.371,10441
1200013,Acrelândia,59175.271,10668
1200054,Assis Brasil,17655.113,4852
1200104,Brasiléia,84638.306,16940
1200138,Bujari,37349.155,7654
1200179,Capixaba,44898.254,6287
1200203,Cruzeiro do Sul,324891.06,78785
1200252,Epitaciolândia,74136.5,12820
1200302,Feijó,96864.498,35713
1200328,Jordão,16035.344,4564
1200336,Mâncio Lima,36445.42,11883
1200344,Manoel Urbano,24246.215,7152
1200351,Marechal Thaumaturgo,31589.28,8394
1200385,Plácido de Castro,68905.789,15931
1200393,Porto Walter,17919.666,5220
1200401,Rio Branco,2377291.801,286082
1200427,Rodrigues Alves,32609.945,9347
1200435,Santa Rosa do Purus,12230.833,2954
1200450,Senador Guiomard,95069.63,19343
1200500,Sena Madureira,126488.437,31530
1200609,Tarauacá,100169.447,29490
1200708,Xapuri,57394.035,13222
1200807,Porto Acre,47998.576,11497
1300029,Alvarães,32142.455,13884
1300060,Amaturá,15319.363,8525
1300086,Anamã,20538.114,6818
1300102,Anori,29176.785,12423
1300144,Apuí,51887.56,17715
1300201,Atalaia do Norte,21852.318,11023
1300300,Autazes,93772.632,27772
1300409,Barcelos,48312.61,30429
1300508,Barreirinha,49308.104,25545
1300607,Benjamin Constant,71802.76,25542
1300631,Beruri,28560.543,12744
1300680,Boa Vista do Ramos,21744.1,11892
1300706,Boca do Acre,87539.058,27997
1300805,Borba,71895.837,34018
1300839,Caapiranga,29346.25,9736
1300904,Canutama,21199.975,10067
1301001,Carauari,73245.048,25373
1301100,Careiro,67763.276,25536
1301159,Careiro da Várzea,63423.006,16844
1301209,Coari,1254628.852,80552
1301308,Codajás,48936.361,19422
1301407,Eirunepé,62217.759,28739
1301506,Envira,31109.848,13312
1301605,Fonte Boa,71222.127,35752
1301654,Guajará,27193.661,11873
1301704,Humaitá,88471.492,29957
1301803,Ipixuna,28768.437,16605
1301852,Iranduba,116577.484,38661
1301902,Itacoatiara,453744.118,78425
1301951,Itamarati,18104.062,8084
1302009,Itapiranga,25595.599,8337
1302108,Japurá,19342.278,12942
1302207,Juruá,16970.164,7313
1302306,Jutaí,60337.119,26103
1302405,Lábrea,63590.421,27017
1302504,Manacapuru,392537.706,81518
1302553,Manaquiri,36682.853,13655
1302603,Manaus,25723022.79,1592555
1302702,Manicoré,94821.52,38124
1302801,Maraã,39770.708,19561
1302900,Maués,94316.635,44552
1303007,Nhamundá,33692.202,16352
1303106,Nova Olinda do Norte,50067.062,28827
1303205,Novo Airão,21177.757,7580
1303304,Novo Aripuanã,41525.278,19716
1303403,Parintins,272566.093,105002
1303502,Pauini,32704.483,17118
1303536,Presidente Figueiredo,197854.879,22273
1303569,Rio Preto da Eva,86078.238,22820
1303601,Santa Isabel do Rio Negro,19810.359,8260
1303700,Santo Antônio do Içá,48802.561,33421
1303809,São Gabriel da Cachoeira,73284.264,33170
1303908,São Paulo de Olivença,49851.145,27607
1303957,São Sebastião do Uatumã,14953.239,8401
1304005,Silves,25995.994,8771
1304062,Tabatinga,95554.021,42652
1304104,Tapauá,37916.25,18326
1304203,Tefé,185767.55,69423
1304237,Tonantins,27442.744,18106
1304260,Uarini,26137.152,12549
1304302,Urucará,53053.099,21707
1304401,Urucurituba,29669.645,9703
1400027,Amajari,27414.581,5975
1400050,Alto Alegre,84663.645,21512
1400100,Boa Vista,2112631.883,236319
1400159,Bonfim,59325.828,12162
1400175,Cantá,49196.343,10213
1400209,Caracaraí,91680.49,17259
1400233,Caroebe,28661.967,5844
1400282,Iracema,27717.816,5880
1400308,Mucajaí,63460.239,11593
1400407,Normandia,38617.871,5448
1400456,Pacaraima,59740.509,8042
1400472,Rorainópolis,97652.621,23599
1400506,São João da Baliza,30040.362,5384
1400605,São Luiz,31089.244,6324
1400704,Uiramutã,20863.579,6342
1500107,Abaetetuba,295110.588,129300
1500131,Abel Figueiredo,32332.328,6798
1500206,Acará,252212.146,60039
1500305,Afuá,90677.557,34534
1500347,Água Azul do Norte,90937.031,30156
1500404,Alenquer,131789.263,40289
1500503,Almeirim,410385.758,34230
1500602,Altamira,377711.963,83322
1500701,Anajás,38405.704,20460
1500800,Ananindeua,1956077.109,468463
1500859,Anapu,48623.436,7271
1500909,Augusto Corrêa,62338.474,34435
1500958,Aurora do Pará,90667.624,23630
1501006,Aveiro,24779.043,17976
1501105,Bagre,33535.265,13636
1501204,Baião,64814.401,21673
1501253,Bannach,36014.659,3469
1501303,Barcarena,1563328.714,72441
1501402,Belém,11024247.38,1386482
1501451,Belterra,54220.253,16790
1501501,Benevides,187977.886,42874
1501576,Bom Jesus do Tocantins,44326.782,13913
1501600,Bonito,25185.65,10493
1501709,Bragança,240535.587,100924
1501725,Brasil Novo,66701.461,20197
1501758,Brejo Grande do Araguaia,27284.436,8022
1501782,Breu Branco,206434.158,42337
1501808,Breves,251984.729,84404
1501907,Bujaru,121914.293,24694
1501956,Cachoeira do Piriá,31351.673,19250
1502004,Cachoeira do Arari,39234.73,17127
1502103,Cametá,221069.889,104210
1502152,Canaã dos Carajás,465099.149,13035
1502202,Capanema,270842.37,60272
1502301,Capitão Poço,104148.985,52055
1502400,Castanhal,759890.64,151668
1502509,Chaves,46169.568,17324
1502608,Colares,21028.377,11847
1502707,Conceição do Araguaia,172628.023,44095
1502756,Concórdia do Pará,57343.606,23979
1502764,Cumaru do Norte,58281.719,6142
1502772,Curionópolis,50489.325,15401
1502806,Curralinho,38204.506,22564
1502855,Curuá,29082.231,9740
1502905,Curuçá,59518.391,29157
1502939,Dom Eliseu,227335.322,47561
1502954,Eldorado do Carajás,90705.401,39213
1503002,Faro,17442.982,13624
1503044,Floresta do Araguaia,80420.143,15042
1503077,Garrafão do Norte,57988.252,26206
1503093,Goianésia do Pará,102068.345,28853
1503101,Gurupá,46775.145,25285
1503200,Igarapé-Açu,75488.422,35097
1503309,Igarapé-Miri,125363.515,58303
1503408,Inhangapi,26301.784,8217
1503457,Ipixuna do Pará,191736.86,33531
1503507,Irituia,67719.26,30204
1503606,Itaituba,419488.491,96015
1503705,Itupiranga,141728.62,60814
1503754,Jacareacanga,37801.176,31661
1503804,Jacundá,153753.759,46151
1503903,Juruti,94212.942,35401
1504000,Limoeiro do Ajuru,72731.42,21200
1504059,Mãe do Rio,71551,23366
1504109,Magalhães Barata,15008.288,7885
1504208,Marabá,1607770.26,191508
1504307,Maracanã,56229.331,28628
1504406,Marapanim,61133.332,27171
1504422,Marituba,381681.912,93723
1504455,Medicilândia,128519.746,22276
1504505,Melgaço,33144.555,24520
1504604,Mocajuba,50617.528,21626
1504703,Moju,179193.15,59592
1504802,Monte Alegre,192189.118,66467
1504901,Muaná,53567.873,27109
1504950,Nova Esperança do Piriá,43824.9,25377
1504976,Nova Ipixuna,29817.312,13644
1505007,Nova Timboteua,29654.756,12454
1505031,Novo Progresso,146353.184,35192
1505064,Novo Repartimento,176299.703,48846
1505106,Óbidos,166467.423,48705
1505205,Oeiras do Pará,57058.194,25619
1505304,Oriximiná,869846.859,52392
1505403,Ourém,42952.362,15262
1505437,Ourilândia do Norte,67894.249,19889
1505486,Pacajá,97120.632,30529
1505494,Palestina do Pará,19744.902,8611
1505502,Paragominas,581570.485,85354
1505536,Parauapebas,2194271.03,88519
1505551,Pau D'Arco,27703.454,8424
1505601,Peixe-Boi,15647.712,8710
1505635,Piçarra,67594.247,13902
1505650,Placas,47554.846,14984
1505700,Ponta de Pedras,47683.288,19856
1505809,Portel,149542.943,42593
