COD_MUN_IBGE,NOME_MUNICIPIO,PIB,POP
1100015,Alta Floresta D'Oeste,111290.995,28215
1100023,Ariquemes,449592.816,82951
1100031,Cabixi,31767.52,7452
1100049,Cacoal,474443.097,75509
1100056,Cerejeiras,79173.614,17532
1100064,Colorado do Oeste,87253.575,19478
1100072,Corumbiara,45164.841,9745
1100080,Costa Marques,37308.37,10923
1100098,Espigão D'Oeste,119311.538,26961
1100106,Guajará-Mirim,174680.462,40791
1100114,Jaru,306157.578,55397
1100122,Ji-Paraná,657399.93,111325
1100130,Machadinho D'Oeste,83828.417,27481
1100148,Nova Brasilândia D'Oeste,65740.116,17705
1100155,Ouro Preto do Oeste,191704.391,40782
1100189,Pimenta Bueno,180336.884,31523
1100205,Porto Velho,2325673.091,366156
1100254,Presidente Médici,93482.324,25649
1100262,Rio Crespo,15549.444,3390
1100288,Rolim de Moura,231270.037,49099
1100296,Santa Luzia D'Oeste,46044.621,11239
1100304,Vilhena,448260.273,61902
1100320,São Miguel do Guaporé,73737.417,28855
1100338,Nova Mamoré,51341.322,18563
1100346,Alvorada D'Oeste,66869.042,19635
1100379,Alto Alegre dos Parecis,46139.178,14576
1100403,Alto Paraíso,45060.464,15425
1100452,Buritis,97946.328,37264
1100502,Novo Horizonte do Oeste,46574.951,12711
1100601,Cacaulândia,27706.768,5435
1100700,Campo Novo de Rondônia,34792.536,16330
1100809,Candeias do Jamari,61407.339,15990
1100908,Castanheiras,18452.669,4130
1100924,Chupinguaia,37622.117,6288
1100940,Cujubim,33917.474,8374
1101005,Governador Jorge Teixeira,43978.728,17140
1101104,Itapuã do Oeste,37463.083,8098
1101203,Ministro Andreazza,37732.133,11261
1101302,Mirante da Serra,45238.859,13833
1101401,Monte Negro,49520.475,15521
1101435,Nova União,28852.437,9113
1101450,Parecis,15885.707,3338
1101468,Pimenteiras do Oeste,14809.234,2599
1101476,Primavera de Rondônia,18167.129,4367
1101484,São Felipe D'Oeste,23123.765,7199
1101492,São Francisco do Guaporé,49112.809,15833
1101500,Seringueiras,39708.261,14777
1101559,Teixeirópolis,20170.405,5806
1101609,Theobroma,40170.849,13307
1101708,Urupá,47557.901,16840
1101757,Vale do Anari,24444.492,9931
1101807,Vale do Paraíso,34692.08,10257
1200013,Acrelândia,39622.197,8498
1200054,Assis Brasil,12788.642,3621
1200104,Brasiléia,72996.862,17702
1200138,Bujari,26742.526,6429
1200179,Capixaba,32492.341,5865
1200203,Cruzeiro do Sul,262001.725,71915
1200252,Epitaciolândia,53796.568,11848
1200302,Feijó,72818.537,28763
1200328,Jordão,14548.504,4510
1200336,Mâncio Lima,31110.925,11836
1200344,Manoel Urbano,19935.774,6767
1200351,Marechal Thaumaturgo,26714.168,8345
1200385,Plácido de Castro,54087.545,15808
1200393,Porto Walter,16533.397,5266
1200401,Rio Branco,1840092.659,268961
1200427,Rodrigues Alves,26748.75,8424
1200435,Santa Rosa do Purus,9012.004,2604
1200450,Senador Guiomard,72770.294,20807
1200500,Sena Madureira,125409.625,30610
1200609,Tarauacá,78553.406,26627
1200708,Xapuri,42069.83,12253
1200807,Porto Acre,40454.998,11934
1300029,Alvarães,30812.377,13062
1300060,Amaturá,12273.035,7948
1300086,Anamã,17876.95,6697
1300102,Anori,26339.6,11900
1300144,Apuí,38007.163,15888
1300201,Atalaia do Norte,20205.237,10561
1300300,Autazes,76038.932,26147
1300409,Barcelos,34278.94,27474
1300508,Barreirinha,42637.543,24138
1300607,Benjamin Constant,57997.917,24441
1300631,Beruri,23694.456,11935
1300680,Boa Vista do Ramos,17068.348,11223
1300706,Boca do Acre,59575.438,27445
1300805,Borba,79902.836,31458
1300839,Caapiranga,35090.449,9293
1300904,Canutama,17772.641,10385
1301001,Carauari,75824.728,24447
1301100,Careiro,66629.738,26493
1301159,Careiro da Várzea,160411.534,17044
