COD_MUN_IBGE,NOME_MUNICIPIO,PIB,POP
1100015,Alta Floresta D'Oeste,329029.479,24069
1100023,Ariquemes,1703641.937,92747
1100031,Cabixi,99586.481,6132
1100049,Cacoal,1372705.085,79330
1100056,Cerejeiras,357332.997,16852
1100064,Colorado do Oeste,222070.659,18093
1100072,Corumbiara,175872.461,8530
1100080,Costa Marques,134090.802,14355
1100098,Espigão D'Oeste,376177.438,29189
1100106,Guajará-Mirim,516171.502,42202
1100114,Jaru,1004963.787,51765
1100122,Ji-Paraná,2318728.506,118092
1100130,Machadinho D'Oeste,353071.01,32403
1100148,Nova Brasilândia D'Oeste,215981.695,19891
1100155,Ouro Preto do Oeste,527990.17,37482
1100189,Pimenta Bueno,687732.44,34135
1100205,Porto Velho,11970876.73,442701
1100254,Presidente Médici,278269.271,21709
1100262,Rio Crespo,56105.826,3374
1100288,Rolim de Moura,845500.025,51142
1100296,Santa Luzia D'Oeste,122449.039,8476
1100304,Vilhena,1797975.678,79616
1100320,São Miguel do Guaporé,333932.571,21927
1100338,Nova Mamoré,277775.018,23719
1100346,Alvorada D'Oeste,184426.563,16404
1100379,Alto Alegre dos Parecis,207365.399,12833
1100403,Alto Paraíso,205906.35,17742
1100452,Buritis,403805.121,33397
1100502,Novo Horizonte do Oeste,104873.277,9933
1100601,Cacaulândia,90741.593,5791
1100700,Campo Novo de Rondônia,156228.294,12847
1100809,Candeias do Jamari,267392.936,20787
1100908,Castanheiras,46867.672,3479
1100924,Chupinguaia,238955.405,8721
1100940,Cujubim,221003.124,17262
1101005,Governador Jorge Teixeira,118735.101,10040
1101104,Itapuã do Oeste,128141.462,8830
1101203,Ministro Andreazza,124806.766,10203
1101302,Mirante da Serra,130631.854,11686
1101401,Monte Negro,181389.993,14313
1101435,Nova União,85013.593,7382
1101450,Parecis,61507.588,4990
1101468,Pimenteiras do Oeste,80774.718,2283
1101476,Primavera de Rondônia,43789.905,3406
1101484,São Felipe D'Oeste,67923.358,5862
1101492,São Francisco do Guaporé,223068.741,16636
1101500,Seringueiras,141929.816,11619
1101559,Teixeirópolis,63277.173,4778
1101609,Theobroma,125795.797,10575
1101708,Urupá,128811.28,12687
1101757,Vale do Anari,105600.317,9633
1101807,Vale do Paraíso,95926.522,7961
1200013,Acrelândia,162198.825,13011
1200054,Assis Brasil,52805.468,6308
1200104,Brasiléia,238704.357,22261
1200138,Bujari,107913.953,8782
1200179,Capixaba,129648.559,9368
1200203,Cruzeiro do Sul,838656.593,79819
1200252,Epitaciolândia,185760.682,15679
1200302,Feijó,224521.304,32560
1200328,Jordão,52135.997,6898
1200336,Mâncio Lima,121765.921,15890
1200344,Manoel Urbano,66178.972,8224
1200351,Marechal Thaumaturgo,119708.986,15123
1200385,Plácido de Castro,178793.175,17587
1200393,Porto Walter,67806.977,9711
1200401,Rio Branco,6270618.95,348354
1200427,Rodrigues Alves,109580.841,15260
1200435,Santa Rosa do Purus,37656.721,5061
1200450,Senador Guiomard,256395.48,20588
1200500,Sena Madureira,333670.776,39366
1200609,Tarauacá,292547.658,36763
1200708,Xapuri,147390.2,16639
1200807,Porto Acre,143464.31,15534
1300029,Alvarães,78120.546,14381
1300060,Amaturá,51061.202,9794
1300086,Anamã,67764.007,10766
1300102,Anori,137498.929,17072
1300144,Apuí,136498.175,18633
1300201,Atalaia do Norte,84683.419,15924
1300300,Autazes,177214.959,33312
1300409,Barcelos,121658.89,25948
1300508,Barreirinha,158178.811,28077
1300607,Benjamin Constant,182717.525,34950
1300631,Beruri,88501.664,16158
1300680,Boa Vista do Ramos,82356.936,15659
1300706,Boca do Acre,209051.504,31171
1300805,Borba,212495.978,35919
1300839,Caapiranga,94804.969,11303
1300904,Canutama,70360.612,13986
1301001,Carauari,161914.106,26130
1301100,Careiro,171484.704,33517
1301159,Careiro da Várzea,202957.745,24937
1301209,Coari,4207960.7,77305
1301308,Codajás,446417.446,24067
1301407,Eirunepé,282974.578,31364
1301506,Envira,113710.039,16923
1301605,Fonte Boa,122127.05,23198
1301654,Guajará,77468.287,14396
1301704,Humaitá,307585.436,45954
1301803,Ipixuna,84610.153,23460
1301852,Iranduba,382668.59,41947
1301902,Itacoatiara,1310792.426,89064
1301951,Itamarati,57651.15,7983
1302009,Itapiranga,88901.548,8348
1302108,Japurá,45849.191,7448
1302207,Juruá,78581.994,11439
1302306,Jutaí,137652.132,18293
1302405,Lábrea,318287.64,39022
1302504,Manacapuru,853164.94,86985
1302553,Manaquiri,157439.568,24325
1302603,Manaus,55551837.61,1861838
1302702,Manicoré,374854.607,48373
1302801,Maraã,85759.587,17596
1302900,Maués,297319.479,54079
1303007,Nhamundá,106711.367,18720
1303106,Nova Olinda do Norte,152004.534,31749
1303205,Novo Airão,77206.686,15489
1303304,Novo Aripuanã,109590.051,22106
1303403,Parintins,811867.125,103828
1303502,Pauini,97519.643,18329
1303536,Presidente Figueiredo,590572.416,28652
1303569,Rio Preto da Eva,318300.067,26948
1303601,Santa Isabel do Rio Negro,86264.62,19292
1303700,Santo Antônio do Içá,107787.238,24890
1303809,São Gabriel da Cachoeira,187652.125,39097
1303908,São Paulo de Olivença,142978.811,32677
1303957,São Sebastião do Uatumã,60507.625,11241
1304005,Silves,62377.755,8544
1304062,Tabatinga,275456.187,54440
1304104,Tapauá,128599.349,17903
1304203,Tefé,558291.207,61000
1304237,Tonantins,81782.499,17316
1304260,Uarini,87490.82,12139
1304302,Urucará,227714.22,16902
1304401,Urucurituba,99087.495,18679
1400027,Amajari,104080.982,9936
1400050,Alto Alegre,153344.934,16228
1400100,Boa Vista,5835746.201,296959
1400159,Bonfim,139877.197,11188
1400175,Cantá,153466.608,14707
1400209,Caracaraí,222388.958,19019
1400233,Caroebe,93127.228,8480
1400282,Iracema,87502.129,9288
1400308,Mucajaí,176930.441,15328
1400407,Normandia,86658.677,9364
1400456,Pacaraima,115387.673,10953
1400472,Rorainópolis,308533.712,25319
1400506,São João da Baliza,89963.699,7023
1400605,São Luiz,74576.651,6968
1400704,Uiramutã,69882.025,8764
1500107,Abaetetuba,798053.279,144415
1500131,Abel Figueiredo,44327.649,6905
1500206,Acará,506916.139,53787
1500305,Afuá,232238.184,35879
1500347,Água Azul do Norte,224991.927,25506
1500404,Alenquer,364444.628,53369
1500503,Almeirim,467570.876,33563
1500602,Altamira,2206575.799,102343
1500701,Anajás,130357.394,25731
1500800,Ananindeua,5114548.871,483821
1500859,Anapu,179067.482,22225
1500909,Augusto Corrêa,203750.271,41628
1500958,Aurora do Pará,176412.573,27576
1501006,Aveiro,67952.821,15899
1501105,Bagre,102505.746,25398
1501204,Baião,203188.798,39263
1501253,Bannach,46793.238,3379
1501303,Barcarena,2006449.481,105385
1501402,Belém,26362015.18,1410430
1501451,Belterra,150486.25,16579
1501501,Benevides,794371.97,54083
1501576,Bom Jesus do Tocantins,84493.222,15629
1501600,Bonito,54941.452,14207
1501709,Bragança,756413.899,116164
1501725,Brasil Novo,129297.048,17960
1501758,Brejo Grande do Araguaia,41222.539,7295
1501782,Breu Branco,409761.317,55521
1501808,Breves,503023.539,94779
1501907,Bujaru,287636.026,26400
1501956,Cachoeira do Piriá,100613.502,28153
1502004,Cachoeira do Arari,119907.832,21147
1502103,Cametá,617315.718,124411
1502152,Canaã dos Carajás,3207826.915,29101
1502202,Capanema,671581.89,64624
1502301,Capitão Poço,300829.544,52214
1502400,Castanhal,2349756.336,178986
1502509,Chaves,114282.22,21557
1502608,Colares,48864.503,11495
1502707,Conceição do Araguaia,426732.881,45885
1502756,Concórdia do Pará,194199.977,29313
1502764,Cumaru do Norte,154775.103,11144
1502772,Curionópolis,197767.224,18108
1502806,Curralinho,121205.778,29838
1502855,Curuá,71662.238,12712
1502905,Curuçá,166799.955,35523
1502939,Dom Eliseu,372226.311,53100
1502954,Eldorado do Carajás,237256.988,32115
1503002,Faro,41009.684,7897
1503044,Floresta do Araguaia,314642.279,18295
1503077,Garrafão do Norte,141780.749,25157
1503093,Goianésia do Pará,226404.378,35299
1503101,Gurupá,133897.846,29963
1503200,Igarapé-Açu,212043.228,36414
1503309,Igarapé-Miri,321431.689,58904
1503408,Inhangapi,63466.85,10393
1503457,Ipixuna do Pará,440662.334,51569
1503507,Irituia,121281.06,31492
1503606,Itaituba,929674.707,97908
1503705,Itupiranga,295100.868,51457
1503754,Jacareacanga,141010.099,41487
1503804,Jacundá,344962.225,52993
1503903,Juruti,568015.377,49486
1504000,Limoeiro do Ajuru,286482.075,25846
1504059,Mãe do Rio,196675.755,28290
1504109,Magalhães Barata,48370.668,8179
1504208,Marabá,4170450.607,243583
1504307,Maracanã,133492.817,28498
1504406,Marapanim,148200.48,26890
1504422,Marituba,923339.341,113353
1504455,Medicilândia,255350.148,28227
1504505,Melgaço,102148.943,25374
1504604,Mocajuba,186532.383,27666
1504703,Moju,562477.198,72597
1504802,Monte Alegre,414856.603,55804
1504901,Muaná,191396.193,35524
1504950,Nova Esperança do Piriá,107024.206,20350
1504976,Nova Ipixuna,94782.273,15065
1505007,Nova Timboteua,75151.279,14012
1505031,Novo Progresso,331148.279,25151
1505064,Novo Repartimento,506000.973,65106
1505106,Óbidos,382377.575,49763
1505205,Oeiras do Pará,213064.709,29402
1505304,Oriximiná,1264242.006,64978
1505403,Ourém,113212.539,16601
1505437,Ourilândia do Norte,479963.757,28551
1505486,Pacajá,326519.012,41654
1505494,Palestina do Pará,39353.324,7465
1505502,Paragominas,1709395.976,101046
1505536,Parauapebas,19080395.43,166342
1505551,Pau D'Arco,47364.569,5869
1505601,Peixe-Boi,37343.332,7869
1505635,Piçarra,115553.25,12701
1505650,Placas,130997.141,25526
1505700,Ponta de Pedras,141115.67,27103
1505809,Portel,378911.487,54306
1505908,Porto de Moz,178847.795,35529
1506005,Prainha,197161.045,29325
1506104,Primavera,44135.108,10352
1506112,Quatipuru,55966.763,12639
1506138,Redenção,965207.596,77415
1506161,Rio Maria,228291.39,17728
1506187,Rondon do Pará,342576.453,48036
1506195,Rurópolis,180425.227,42417
1506203,Salinópolis,291862.912,38021
1506302,Salvaterra,100369.188,20948
1506351,Santa Bárbara do Pará,114531.165,18012
1506401,Santa Cruz do Arari,52165.176,8593
1506500,Santa Izabel do Pará,413978.848,61919
1506559,Santa Luzia do Pará,93921.339,19428
1506583,Santa Maria das Barreiras,159444.283,18150
1506609,Santa Maria do Pará,201876.515,23355
1506708,Santana do Araguaia,423595.251,59919
1506807,Santarém,3255042.473,299419
1506906,Santarém Novo,30148.385,6248
1507003,Santo Antônio do Tauá,162292.299,27707
1507102,São Caetano de Odivelas,88454.119,17087
1507151,São Domingos do Araguaia,144469.577,23602
1507201,São Domingos do Capim,188725.059,30215
1507300,São Félix do Xingu,732394.387,99905
1507409,São Francisco do Pará,93222.428,15184
1507458,São Geraldo do Araguaia,258913.19,25277
1507466,São João da Ponta,28350.805,5451
1507474,São João de Pirabas,94878.125,21125
1507508,São João do Araguaia,78228.952,13293
1507607,São Miguel do Guamá,395579.16,53108
1507706,São Sebastião da Boa Vista,131520.274,23696
1507755,Sapucaia,52925.062,5236
1507805,Senador José Porfírio,74026.959,12641
1507904,Soure,137858.325,23461
1507953,Tailândia,508560.613,85468
1507961,Terra Alta,40539.315,10565
1507979,Terra Santa,346021.505,17305
1508001,Tomé-Açu,435061.276,57914
1508035,Tracuateua,133833.609,28167
1508050,Trairão,155087.609,17303
1508084,Tucumã,473133.875,34956
1508100,Tucuruí,2922724.641,100651
1508126,Ulianópolis,828084.29,46979
1508159,Uruará,334351.595,44727
1508209,Vigia,252284.755,49054
1508308,Viseu,322765.396,57566
1508357,Vitória do Xingu,154595.125,13777
1508407,Xinguara,569965.794,41382
1600055,Serra do Navio,49450.864,4545
1600105,Amapá,108186.183,8213
1600154,Pedra Branca do Amapari,263375.219,11794
1600204,Calçoene,130565.583,9343
1600212,Cutias,51804.908,4910
1600238,Ferreira Gomes,106820.658,6141
1600253,Itaubal,43608.584,4473
1600279,Laranjal do Jari,468851.249,41668
1600303,Macapá,7450350.922,415554
1600402,Mazagão,177377.879,17794
1600501,Oiapoque,245649.871,21661
1600535,Porto Grande,244873.1,17680
1600550,Pracuúba,50224.227,4021
1600600,Santana,1476769.213,104407
1600709,Tartarugalzinho,136169.689,13385
1600808,Vitória do Jari,126789.653,13013
1700251,Abreulândia,20746.03,2422
1700301,Aguiarnópolis,80978.255,5467
1700350,Aliança do Tocantins,52878.846,5595
1700400,Almas,83699.413,7452
1700707,Alvorada,197774.796,8354
1701002,Ananás,76290.122,9768
1701051,Angico,22557.475,3219
1701101,Aparecida do Rio Negro,51983.174,4319
1701309,Aragominas,42748.414,5838
1701903,Araguacema,52349.884,6454
1702000,Araguaçu,113535.159,8702
1702109,Araguaína,2434281.096,156123
1702158,Araguanã,44861.018,5157
1702208,Araguatins,230763.985,32133
1702307,Arapoema,72325.288,6700
1702406,Arraias,120302.629,10594
1702554,Augustinópolis,137688.251,16401
1702703,Aurora do Tocantins,27212.406,3499
1702901,Axixá do Tocantins,64912.992,9343
1703008,Babaçulândia,61026.007,10439
1703057,Bandeirantes do Tocantins,56894.425,3200
1703073,Barra do Ouro,38544.373,4206
1703107,Barrolândia,46669.042,5390
1703206,Bernardo Sayão,46468.59,4442
1703305,Bom Jesus do Tocantins,44726.109,3987
1703602,Brasilândia do Tocantins,26581.67,2086
1703701,Brejinho de Nazaré,68074.046,5232
1703800,Buriti do Tocantins,57976.76,10059
1703826,Cachoeirinha,15111.525,2167
1703842,Campos Lindos,276422.117,8517
