COD_MUN_IBGE,NOME_MUNICIPIO,PIB,POP
1100015,Alta Floresta D'Oeste,127787.5041,27441
1100023,Ariquemes,364037.1862,79064
1100031,Cabixi,28499.04602,7482
1100049,Cacoal,376909.4922,74616
1100056,Cerejeiras,77871.92106,17843
1100064,Colorado do Oeste,74392.40905,20588
1100072,Corumbiara,34331.67803,10074
1100080,Costa Marques,26596.98202,10128
1100098,Espigão D'Oeste,108282.3621,26375
1100106,Guajará-Mirim,124721.8351,39527
1100114,Jaru,226079.3651,54570
1100122,Ji-Paraná,520470.2122,109243
1100130,Machadinho D'Oeste,69817.32805,25299
1100148,Nova Brasilândia D'Oeste,64150.25804,17411
1100155,Ouro Preto do Oeste,155700.6901,40829
1100189,Pimenta Bueno,135172.7181,31628
1100205,Porto Velho,1434174.768,351668
1100254,Presidente Médici,82288.05806,25979
1100262,Rio Crespo,14067.67301,3182
1100288,Rolim de Moura,201244.8151,48309
1100296,Santa Luzia D'Oeste,35225.77803,11406
1100304,Vilhena,374029.5142,58081
1100320,São Miguel do Guaporé,64462.41104,26563
1100338,Nova Mamoré,37370.51702,16822
1100346,Alvorada D'Oeste,58018.60404,19726
1100379,Alto Alegre dos Parecis,36753.28603,13716
1100403,Alto Paraíso,39815.87503,14363
1100452,Buritis,60838.55003,31929
1100502,Novo Horizonte do Oeste,30026.70502,12511
1100601,Cacaulândia,22163.72202,5406
1100700,Campo Novo de Rondônia,28356.14102,14091
1100809,Candeias do Jamari,62512.43703,14664
1100908,Castanheiras,15770.48301,4168
1100924,Chupinguaia,29415.16302,5935
1100940,Cujubim,25989.16202,7528
1101005,Governador Jorge Teixeira,31826.91102,15530
1101104,Itapuã do Oeste,27700.60702,7511
1101203,Ministro Andreazza,37020.58803,11298
1101302,Mirante da Serra,42376.50703,13520
1101401,Monte Negro,38056.82503,14189
1101435,Nova União,21927.22902,8708
1101450,Parecis,15877.82801,3469
1101468,Pimenteiras do Oeste,11162.49001,2566
1101476,Primavera de Rondônia,15610.20401,4341
1101484,São Felipe D'Oeste,18369.40001,7133
1101492,São Francisco do Guaporé,42380.11103,14096
1101500,Seringueiras,30904.69402,13360
1101559,Teixeirópolis,15069.41301,5720
1101609,Theobroma,26074.61502,12310
1101708,Urupá,38054.75502,15938
1101757,Vale do Anari,19775.38502,8921
1101807,Vale do Paraíso,25431.89602,10076
1200013,Acrelândia,16861.53396,7955
1200054,Assis Brasil,7155.160992,3495
1200104,Brasiléia,37768.47591,17037
1200138,Bujari,12890.82696,5847
1200179,Capixaba,12844.32296,5229
1200203,Cruzeiro do Sul,125674.791,67600
1200252,Epitaciolândia,24165.52294,11057
1200302,Feijó,46087.39795,26794
1200328,Jordão,8015.704986,4456
1200336,Mâncio Lima,17941.47198,11121
1200344,Manoel Urbano,11190.84999,6388
1200351,Marechal Thaumaturgo,13467.40198,8297
1200385,Plácido de Castro,32037.49791,15195
1200393,Porto Walter,9406.252989,5477
1200401,Rio Branco,1116261.169,253625
1200427,Rodrigues Alves,14816.24697,8105
1200435,Santa Rosa do Purus,4076.374997,2259
1200450,Senador Guiomard,37832.56798,19798
1200500,Sena Madureira,58983.00387,29462
1200609,Tarauacá,47599.17697,26058
1200708,Xapuri,24541.55195,11967
1200807,Porto Acre,23003.57791,11436
1300029,Alvarães,18318.86382,12253
1300060,Amaturá,10703.32519,7380
1300086,Anamã,11368.93077,6578
1300102,Anori,16933.77009,11385
1300144,Apuí,28275.35244,14092
1300201,Atalaia do Norte,11476.38988,10107
1300300,Autazes,57764.98012,24548
1300409,Barcelos,33308.0434,24566
