COD_MUN_IBGE,NOME_MUNICIPIO,PIB,POP
1100015,Alta Floresta D'Oeste,379060.308,25652
1100023,Ariquemes,1967587.044,102860
1100031,Cabixi,113031.481,6424
1100049,Cacoal,1695899.981,86556
1100056,Cerejeiras,326765.671,18013
1100064,Colorado do Oeste,275185.12,19001
1100072,Corumbiara,188217.619,8938
1100080,Costa Marques,171877.968,16258
1100098,Espigão D'Oeste,498358.098,32047
1100106,Guajará-Mirim,667538.864,46203
1100114,Jaru,1131276.487,55669
1100122,Ji-Paraná,2684653.468,129242
1100130,Machadinho D'Oeste,432405.715,36412
1100148,Nova Brasilândia D'Oeste,251677.315,21511
1100155,Ouro Preto do Oeste,609267.754,40010
1100189,Pimenta Bueno,852454.998,37230
1100205,Porto Velho,12609917.95,494013
1100254,Presidente Médici,337608.214,22783
1100262,Rio Crespo,76854.465,3709
1100288,Rolim de Moura,1015123.569,55807
1100296,Santa Luzia D'Oeste,135933.847,8706
1100304,Vilhena,2168425.748,89797
1100320,São Miguel do Guaporé,434497.079,23803
1100338,Nova Mamoré,335448.468,26925
1100346,Alvorada D'Oeste,204097.798,17228
1100379,Alto Alegre dos Parecis,213409.561,13884
1100403,Alto Paraíso,235981.217,19841
1100452,Buritis,481266.414,37207
1100502,Novo Horizonte do Oeste,129398.855,10393
1100601,Cacaulândia,116635.085,6318
1100700,Campo Novo de Rondônia,208820.996,14081
1100809,Candeias do Jamari,324943.235,23573
1100908,Castanheiras,59778.81,3653
1100924,Chupinguaia,190330.689,9887
1100940,Cujubim,248242.656,20204
1101005,Governador Jorge Teixeira,148027.039,10327
1101104,Itapuã do Oeste,129350.568,9831
1101203,Ministro Andreazza,174633.347,10860
1101302,Mirante da Serra,163954.669,12414
1101401,Monte Negro,219152.207,15710
1101435,Nova União,92346.367,7853
1101450,Parecis,80758.746,5589
1101468,Pimenteiras do Oeste,76755.874,2432
1101476,Primavera de Rondônia,52908.266,3548
1101484,São Felipe D'Oeste,72083.957,6160
1101492,São Francisco do Guaporé,272826.371,18640
1101500,Seringueiras,169428.701,12543
1101559,Teixeirópolis,72089.416,5041
1101609,Theobroma,140600.852,11345
1101708,Urupá,172143.082,13391
1101757,Vale do Anari,105207.77,10682
1101807,Vale do Paraíso,116742.193,8327
1200013,Acrelândia,204877.976,13613
1200054,Assis Brasil,72613.394,6610
1200104,Brasiléia,341511.517,23378
1200138,Bujari,129281.297,9173
1200179,Capixaba,149441.171,10170
1200203,Cruzeiro do Sul,1153033.925,80953
1200252,Epitaciolândia,256048.032,16417
1200302,Feijó,310266.254,32398
1200328,Jordão,69165.909,7330
1200336,Mâncio Lima,188314.415,16795
1200344,Manoel Urbano,94961.47,8514
1200351,Marechal Thaumaturgo,162962.58,16380
1200385,Plácido de Castro,237311.739,17979
1200393,Porto Walter,92299.601,10453
1200401,Rio Branco,8192366.098,363928
1200427,Rodrigues Alves,166480.983,16475
1200435,Santa Rosa do Purus,51463.893,5593
1200450,Senador Guiomard,326351.41,20992
1200500,Sena Madureira,478483.673,41036
1200609,Tarauacá,388110.251,38201
1200708,Xapuri,197162.491,17317
1200807,Porto Acre,196189.551,16396
1300029,Alvarães,107048.535,15357
1300060,Amaturá,62808.409,10644
1300086,Anamã,85863.271,11981
1300102,Anori,166958.269,18826
1300144,Apuí,187791.146,20258
1300201,Atalaia do Norte,124961.384,17658
1300300,Autazes,230287.806,36301
1300409,Barcelos,147306.409,27273
1300508,Barreirinha,208755.335,30202
1300607,Benjamin Constant,263084.093,38533
1300631,Beruri,120071.332,17755
1300680,Boa Vista do Ramos,97228.87,17248
1300706,Boca do Acre,267417.183,33148
1300805,Borba,250454.087,38688
1300839,Caapiranga,130505.331,12214
1300904,Canutama,87459.927,14944
1301001,Carauari,227260.912,27645
1301100,Careiro,210281.072,35938
1301159,Careiro da Várzea,242960.911,27357
1301209,Coari,3096592.745,82209
1301308,Codajás,651970.958,26242
1301407,Eirunepé,377237.601,33580
1301506,Envira,124237.421,18422
1301605,Fonte Boa,150577.285,21295
1301654,Guajará,100788.737,15561
1301704,Humaitá,411364.659,50230
1301803,Ipixuna,112792.288,26118
1301852,Iranduba,527963.81,45250
1301902,Itacoatiara,1508253.805,95714
1301951,Itamarati,73107.155,8205
1302009,Itapiranga,82196.698,8864
1302108,Japurá,57438.276,5599
1302207,Juruá,83754.962,12807
1302306,Jutaí,182167.493,16977
1302405,Lábrea,360391.25,42439
1302504,Manacapuru,1307004.695,92996
1302553,Manaquiri,208386.577,27480
1302603,Manaus,67572523.27,2020301
1302702,Manicoré,453774.119,52200
1302801,Maraã,117477.301,18367
1302900,Maués,378872.817,58834
1303007,Nhamundá,120635.043,20078
1303106,Nova Olinda do Norte,184771.775,34498
1303205,Novo Airão,109865.677,17199
1303304,Novo Aripuanã,146425.255,23905
1303403,Parintins,1023954.929,110411
1303502,Pauini,134841.354,19265
1303536,Presidente Figueiredo,679140.451,31903
1303569,Rio Preto da Eva,377104.461,29771
1303601,Santa Isabel do Rio Negro,123222.349,21702
