COD_MUN_IBGE,NOME_MUNICIPIO,PIB,POP
1100015,Alta Floresta D'Oeste,248961.794,24577
1100023,Ariquemes,1064821.964,84581
1100031,Cabixi,60587.709,6777
1100049,Cacoal,928698.698,78263
1100056,Cerejeiras,167474.346,16784
1100064,Colorado do Oeste,157025.616,18216
1100072,Corumbiara,95990.179,9761
1100080,Costa Marques,90970.63,13973
1100098,Espigão D'Oeste,265615.929,28617
1100106,Guajará-Mirim,491320.301,40541
1100114,Jaru,708837.413,53955
1100122,Ji-Paraná,1496175.525,110707
1100130,Machadinho D'Oeste,234493.692,32214
1100148,Nova Brasilândia D'Oeste,167221.209,17653
1100155,Ouro Preto do Oeste,400930.635,37142
1100189,Pimenta Bueno,419977.866,33803
1100205,Porto Velho,5267601.849,379186
1100254,Presidente Médici,196550.158,22896
1100262,Rio Crespo,37219.817,3260
1100288,Rolim de Moura,590512.759,50249
1100296,Santa Luzia D'Oeste,85683.209,9566
1100304,Vilhena,1148344.636,68405
1100320,São Miguel do Guaporé,192747.416,23283
1100338,Nova Mamoré,164807.228,21650
1100346,Alvorada D'Oeste,127592.741,17009
1100379,Alto Alegre dos Parecis,109773.415,11962
1100403,Alto Paraíso,132014.81,17169
1100452,Buritis,270880.033,33879
1100502,Novo Horizonte do Oeste,84763.975,9966
1100601,Cacaulândia,62609.17,5707
1100700,Campo Novo de Rondônia,90328.337,12790
1100809,Candeias do Jamari,138874.529,17147
1100908,Castanheiras,35845.08,3737
1100924,Chupinguaia,120566.406,7633
1100940,Cujubim,108396.796,14122
1101005,Governador Jorge Teixeira,95027.664,11793
1101104,Itapuã do Oeste,77624.193,8110
1101203,Ministro Andreazza,86018.368,10653
1101302,Mirante da Serra,98424.372,12446
1101401,Monte Negro,111322.683,12710
1101435,Nova União,58311.63,7978
1101450,Parecis,39928.411,4696
1101468,Pimenteiras do Oeste,37347.121,2427
1101476,Primavera de Rondônia,31803.672,3819
1101484,São Felipe D'Oeste,54756.662,6477
1101492,São Francisco do Guaporé,135322.063,16091
1101500,Seringueiras,91524.307,12088
1101559,Teixeirópolis,41413.99,5070
1101609,Theobroma,92540.307,10254
1101708,Urupá,105171.635,13785
1101757,Vale do Anari,79439.939,8981
1101807,Vale do Paraíso,85348.839,9008
1200013,Acrelândia,88512.133,11987
1200054,Assis Brasil,33614.179,5559
1200104,Brasiléia,135315.628,19829
1200138,Bujari,58875.891,6745
1200179,Capixaba,62789.796,8897
1200203,Cruzeiro do Sul,598082.655,76392
1200252,Epitaciolândia,128587.676,13960
1200302,Feijó,145959.812,32210
1200328,Jordão,35573.397,6333
1200336,Mâncio Lima,67171.501,14387
1200344,Manoel Urbano,43862.57,7405
1200351,Marechal Thaumaturgo,69573.869,13728
1200385,Plácido de Castro,107306.815,17921
1200393,Porto Walter,41812.435,8562
1200401,Rio Branco,3988385.366,301398
1200427,Rodrigues Alves,65175.431,13020
1200435,Santa Rosa do Purus,28787.951,4165
1200450,Senador Guiomard,152765.808,19506
1200500,Sena Madureira,205498.198,35544
1200609,Tarauacá,176203.255,33368
1200708,Xapuri,86554.607,14848
1200807,Porto Acre,89845.706,14309
1300029,Alvarães,48674.888,13445
1300060,Amaturá,27894.162,8694
1300086,Anamã,48130.34,8483
1300102,Anori,51885.459,14386
1300144,Apuí,102637.144,18170
1300201,Atalaia do Norte,43654.013,14292
1300300,Autazes,99638.028,31107
1300409,Barcelos,72054.032,25318
1300508,Barreirinha,85629.524,27664
1300607,Benjamin Constant,99144.033,30476
1300631,Beruri,43559.516,14374
1300680,Boa Vista do Ramos,60823.713,13677
1300706,Boca do Acre,125583.129,30858
1300805,Borba,100247.793,32160
1300839,Caapiranga,44360.168,10958
1300904,Canutama,40008.482,11844
1301001,Carauari,97770.049,25950
1301100,Careiro,94912.117,32190
1301159,Careiro da Várzea,103168.606,24030
1301209,Coari,2224642.664,67055
1301308,Codajás,85221.886,16418
1301407,Eirunepé,104480.148,30473
1301506,Envira,55308.745,17148
1301605,Fonte Boa,77112.449,19783
1301654,Guajará,46916.059,14684
1301704,Humaitá,150044.186,40027
1301803,Ipixuna,50769.774,17850
1301852,Iranduba,181484.676,33834
1301902,Itacoatiara,616318.313,87896
1301951,Itamarati,28452.409,8300
1302009,Itapiranga,34686.88,9515
1302108,Japurá,19537.911,5025
1302207,Juruá,30444.946,9032
1302306,Jutaí,64232.081,17337
1302405,Lábrea,181046.224,38451
1302504,Manacapuru,436548.309,85279
1302553,Manaquiri,65198.448,20095
1302603,Manaus,39691574.43,1709010
1302702,Manicoré,166537.879,45996
1302801,Maraã,62085.073,18051
1302900,Maués,208429.292,48808
1303007,Nhamundá,58410.738,18198
1303106,Nova Olinda do Norte,86398.677,30357
1303205,Novo Airão,45574.265,15343
1303304,Novo Aripuanã,71216.153,18796
1303403,Parintins,407811.398,105742
1303502,Pauini,53561.096,18938
1303536,Presidente Figueiredo,224107.485,25474
1303569,Rio Preto da Eva,122998.596,26004
1303601,Santa Isabel do Rio Negro,45895.4,17780
1303700,Santo Antônio do Içá,70999.116,30176
1303809,São Gabriel da Cachoeira,141439.825,40806
1303908,São Paulo de Olivença,81699.217,32067
1303957,São Sebastião do Uatumã,26589.938,9079
1304005,Silves,41284.067,8479
1304062,Tabatinga,160006.061,47051
1304104,Tapauá,64379.32,19966
1304203,Tefé,239097.092,64703
1304237,Tonantins,47149.87,19858
1304260,Uarini,41964.019,10130
