COD_MUN_IBGE,NOME_MUNICIPIO,PIB,POP
1100015,Alta Floresta D'Oeste,262076.878,24422
1100023,Ariquemes,1364693.78,90354
1100031,Cabixi,69611.114,6309
1100049,Cacoal,1186494.091,78601
1100056,Cerejeiras,222021.189,17030
1100064,Colorado do Oeste,193092.596,18602
1100072,Corumbiara,114768.272,8802
1100080,Costa Marques,107583.052,13700
1100098,Espigão D'Oeste,311787.835,28741
1100106,Guajará-Mirim,598167.052,41646
1100114,Jaru,797296.433,52043
1100122,Ji-Paraná,1855358.695,116587
1100130,Machadinho D'Oeste,272200.914,31107
1100148,Nova Brasilândia D'Oeste,173651.29,19845
1100155,Ouro Preto do Oeste,477501.323,37941
1100189,Pimenta Bueno,540861.562,33754
1100205,Porto Velho,9093823.824,426558
1100254,Presidente Médici,235588.861,22319
1100262,Rio Crespo,41934.024,3316
1100288,Rolim de Moura,627848.22,50672
1100296,Santa Luzia D'Oeste,98818.321,8886
1100304,Vilhena,1447187.301,76187
1100320,São Miguel do Guaporé,324475.914,21824
1100338,Nova Mamoré,218431.236,22552
1100346,Alvorada D'Oeste,160688.809,16864
1100379,Alto Alegre dos Parecis,119974.008,12826
1100403,Alto Paraíso,152235.166,17144
1100452,Buritis,336264.863,32385
1100502,Novo Horizonte do Oeste,95420.086,10237
1100601,Cacaulândia,76700.806,5727
1100700,Campo Novo de Rondônia,120440.101,12669
1100809,Candeias do Jamari,228321.486,19782
1100908,Castanheiras,39936.323,3581
1100924,Chupinguaia,165716.351,8304
1100940,Cujubim,210217.76,15873
1101005,Governador Jorge Teixeira,111130.032,10513
1101104,Itapuã do Oeste,90690.484,8561
1101203,Ministro Andreazza,99692.423,10354
1101302,Mirante da Serra,114868.695,11869
1101401,Monte Negro,143416.702,14090
1101435,Nova União,70738.614,7498
1101450,Parecis,49986.237,4810
1101468,Pimenteiras do Oeste,43812.047,2322
1101476,Primavera de Rondônia,35105.453,3523
1101484,São Felipe D'Oeste,58726.974,6018
1101492,São Francisco do Guaporé,173609.634,16019
1101500,Seringueiras,117280.833,11649
1101559,Teixeirópolis,50001.145,4893
1101609,Theobroma,105535.46,10644
1101708,Urupá,121359.369,12969
1101757,Vale do Anari,91480.288,9361
1101807,Vale do Paraíso,89262.956,8218
1200013,Acrelândia,121914.728,12538
1200054,Assis Brasil,42017.446,6075
1200104,Brasiléia,190698.905,21438
1200138,Bujari,86264.957,8474
1200179,Capixaba,108531.092,8810
1200203,Cruzeiro do Sul,771040.223,78444
1200252,Epitaciolândia,144997.034,15126
1200302,Feijó,200520.809,32311
1200328,Jordão,41233.997,6531
1200336,Mâncio Lima,95418.696,15246
1200344,Manoel Urbano,55802.854,7989
1200351,Marechal Thaumaturgo,96004.931,14200
1200385,Plácido de Castro,132632.661,17203
1200393,Porto Walter,60317.594,9172
1200401,Rio Branco,5125851.32,335796
1200427,Rodrigues Alves,124221.492,14334
1200435,Santa Rosa do Purus,35855.183,4612
1200450,Senador Guiomard,184619.609,20153
1200500,Sena Madureira,264528.129,37993
1200609,Tarauacá,227962.514,35526
1200708,Xapuri,117259.888,16016
1200807,Porto Acre,114661.461,14806
1300029,Alvarães,58364.675,14080
1300060,Amaturá,36940.837,9657
1300086,Anamã,51913.34,10193
1300102,Anori,64424.012,16289
1300144,Apuí,104517.786,18059
1300201,Atalaia do Norte,68895.572,15149
1300300,Autazes,154784.984,31876
1300409,Barcelos,93662.831,25715
1300508,Barreirinha,117982.694,27361
1300607,Benjamin Constant,137141.139,33391
1300631,Beruri,74007.77,15500
1300680,Boa Vista do Ramos,55075.769,14921
1300706,Boca do Acre,151888.738,29880
1300805,Borba,156531.951,34452
1300839,Caapiranga,66860.598,10909
1300904,Canutama,49393.637,12727
1301001,Carauari,129697.447,25700
1301100,Careiro,143726.596,32631
1301159,Careiro da Várzea,188022.504,23963
1301209,Coari,1998793.445,75909
