COD_MUN_IBGE,NOME_MUNICIPIO,PIB,POP
1100015,Alta Floresta D'Oeste,168805.06,29005
1100023,Ariquemes,790696.634,86924
1100031,Cabixi,46883.822,7421
1100049,Cacoal,743193.723,76422
1100056,Cerejeiras,124414.953,17215
1100064,Colorado do Oeste,126669.535,18342
1100072,Corumbiara,68935.28,9409
1100080,Costa Marques,60811.824,11735
1100098,Espigão D'Oeste,195271.117,27559
1100106,Guajará-Mirim,325665.305,42082
1100114,Jaru,614007.617,56242
1100122,Ji-Paraná,1110408.746,113453
1100130,Machadinho D'Oeste,167420.662,29711
1100148,Nova Brasilândia D'Oeste,108174.549,18005
1100155,Ouro Preto do Oeste,289191.705,40735
1100189,Pimenta Bueno,311875.909,31415
1100205,Porto Velho,4093384.474,380974
1100254,Presidente Médici,151891.272,25313
1100262,Rio Crespo,27237.08,3603
1100288,Rolim de Moura,407839.712,49907
1100296,Santa Luzia D'Oeste,65968.506,11067
1100304,Vilhena,816424.54,65807
1100320,São Miguel do Guaporé,147254.679,31198
1100338,Nova Mamoré,116144.186,20343
1100346,Alvorada D'Oeste,107850.58,19542
1100379,Alto Alegre dos Parecis,83328.629,15454
1100403,Alto Paraíso,88367.981,16510
1100452,Buritis,201021.371,42717
1100502,Novo Horizonte do Oeste,71334.536,12916
1100601,Cacaulândia,44557.402,5464
1100700,Campo Novo de Rondônia,70259.282,18619
1100809,Candeias do Jamari,110797.356,17346
1100908,Castanheiras,27915.992,4092
1100924,Chupinguaia,77157.251,6649
1100940,Cujubim,58711.277,9238
1101005,Governador Jorge Teixeira,86654.267,18786
1101104,Itapuã do Oeste,72991.917,8699
1101203,Ministro Andreazza,55795.779,11223
1101302,Mirante da Serra,74791.363,14152
1101401,Monte Negro,98360.689,16881
1101435,Nova União,48788.698,9526
1101450,Parecis,26627.535,3204
1101468,Pimenteiras do Oeste,26911.981,2633
1101476,Primavera de Rondônia,23165.376,4393
1101484,São Felipe D'Oeste,40950.955,7266
1101492,São Francisco do Guaporé,100398.968,17610
1101500,Seringueiras,75031.97,16225
1101559,Teixeirópolis,32294.076,5894
1101609,Theobroma,71516.538,14326
1101708,Urupá,82955.261,17761
1101757,Vale do Anari,55191.782,10962
1101807,Vale do Paraíso,62413.642,10442
1200013,Acrelândia,70531.492,11786
1200054,Assis Brasil,23897.22,5153
1200104,Brasiléia,98895.025,18056
1200138,Bujari,49391.754,8751
1200179,Capixaba,55224.956,7403
1200203,Cruzeiro do Sul,400264.817,86725
1200252,Epitaciolândia,88120.694,14193
1200302,Feijó,126198.333,39365
1200328,Jordão,22421.258,4662
1200336,Mâncio Lima,47813.535,13116
1200344,Manoel Urbano,29299.306,7843
1200351,Marechal Thaumaturgo,39493.427,8482
1200385,Plácido de Castro,76160.381,17014
1200393,Porto Walter,22804.454,4851
1200401,Rio Branco,2936362.94,314127
1200427,Rodrigues Alves,42591.937,9989
1200435,Santa Rosa do Purus,17221.797,3583
1200450,Senador Guiomard,119477.617,21000
1200500,Sena Madureira,141961.613,33614
1200609,Tarauacá,126866.384,30711
1200708,Xapuri,66514.398,13893
1200807,Porto Acre,60293.615,12335
1300029,Alvarães,41015.432,14776
1300060,Amaturá,20293.519,9150
1300086,Anamã,23551.202,6949
1300102,Anori,35861.636,12990
1300144,Apuí,81706.015,19694
1300201,Atalaia do Norte,28991.274,11523
1300300,Autazes,96787.751,29534
1300409,Barcelos,68272.391,33633
1300508,Barreirinha,77540.287,27069
1300607,Benjamin Constant,77147.567,26737
1300631,Beruri,35478.288,13620
1300680,Boa Vista do Ramos,31626.111,12617
1300706,Boca do Acre,117491.95,28480
1300805,Borba,87129.039,36793
1300839,Caapiranga,36762.283,10215
1300904,Canutama,31589.604,9723
1301001,Carauari,89415.277,26377
1301100,Careiro,74157.245,24499
1301159,Careiro da Várzea,103909.453,16626
1301209,Coari,1929650.758,87468
1301308,Codajás,81529.638,20407
1301407,Eirunepé,110936.546,30125
1301506,Envira,40717.113,13746
1301605,Fonte Boa,86996.31,39144
1301654,Guajará,34085.612,12228
1301704,Humaitá,112991.633,28498
1301803,Ipixuna,42097.232,17806
1301852,Iranduba,148408.742,42812
1301902,Itacoatiara,481188.494,81674
1301951,Itamarati,23612.225,7919
1302009,Itapiranga,28418.697,8866
1302108,Japurá,25693.601,13096
1302207,Juruá,23858.834,7687
1302306,Jutaí,72952.083,27955
